iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4118,22.626374,14.602655,-0.00193,44.37
2,8232,22.729282,15.041652,-0.000913,43.88
3,12340,22.949721,15.073234,-0.0003,44.38
4,16457,23.392045,15.352532,-0.000517,44.28
5,20573,23.655172,15.606809,-0.000705,44.54
6,24670,23.819767,15.640855,-0.000388,43.69
7,28806,24.766467,16.722134,-0.001278,44.37
8,32923,26.391026,17.886572,-0.001043,44.12
9,37031,24.023392,16.11815,-0.000344,44.18
10,41134,24.716867,16.425,-0.000285,43.8
11,45245,26.352564,17.792636,-0.000402,44.01
12,49344,25.61875,17.123529,-0.000401,43.66
