iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4098,27.139073,17.958275,-0.000344,47.36
2,8197,27.695946,18.683011,-0.000426,46.68
3,12307,27.583893,18.474806,-0.000423,46.55
4,16429,28.427586,19.396162,-0.000492,47.03
5,20530,30.377778,20.879842,-0.000475,47.97
6,24633,31.561538,21.755474,-9.9e-05,47.28
7,28760,30.798507,20.820643,-0.000367,47.43
8,32862,29.3,20.091154,-0.000415,46.74
9,36977,33.455285,23.750685,-0.000272,46.7
10,41156,34.825,24.382485,-0.000293,47.71
11,45278,30.761194,20.925249,-0.00065,46.41
12,49398,35.213675,25.200639,-9.5e-05,45.62
13,53525,32.496063,22.912078,-0.000347,45.24
14,57628,35.37069,24.862476,-0.000424,44.8
15,61731,33.357724,23.254767,-0.000381,44.75
16,65834,33.909091,23.858287,-0.0003,44.88
17,69951,34.024793,24.089671,-0.000269,45.47
18,74058,35.713043,25.114664,-0.0003,45.02
19,78183,33.536585,23.945735,-0.000305,47.69
20,82309,39.295238,28.611514,-0.000496,45.16
21,86431,39.634615,28.610595,-0.000589,45.32
22,90542,36.061404,25.508306,-0.000333,45.29
23,94640,36.918919,26.317318,-0.000312,45.08
24,98742,38.698113,27.207909,-0.000414,45.05
