iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4096,35.008547,22.327258,-0.000226,53.23
2,8202,35.396552,22.327092,-0.000203,53.0
3,12366,32.53125,20.255077,-0.000334,53.72
4,16479,36.078947,21.936372,-0.000315,53.5
5,20603,36.821429,24.088627,-3.5e-05,53.68
6,24766,36.2,23.192259,-0.000252,53.59
7,28897,34.425,21.970307,-0.000557,53.41
8,33001,33.639344,20.942723,-0.000803,53.95
9,37198,32.789062,20.360696,-0.000192,54.59
10,41324,36.192982,22.818392,-0.000177,53.59
11,45456,40.509804,27.116864,-0.000379,53.14
12,49623,43.863158,29.364328,-0.000278,54.07
