iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4103,27.353333,18.988652,-0.000497,46.32
2,8199,28.643357,19.400809,-0.000385,46.16
3,12298,25.943038,17.465671,-0.000474,46.75
4,16465,29.13986,20.549401,-0.000502,46.66
5,20566,27.709459,18.972295,-0.000768,47.66
6,24673,28.130137,19.48266,-0.000784,47.07
7,28793,29.855072,20.712565,-0.000937,47.13
8,32889,28.248276,19.841803,-0.000596,48.38
9,37016,29.269504,20.788878,-0.000502,46.65
10,41117,30.377778,21.11395,-0.000371,43.43
11,45215,32.784,23.511424,-0.000425,45.44
12,49333,30.731343,21.414906,-0.000586,43.16
