iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4120,31.450382,21.13824,-0.000756,45.88
2,8304,35.159664,24.995429,-0.000235,47.29
3,12434,40.490196,29.466567,-0.000259,46.99
4,16532,35.327586,24.752038,-0.000351,45.46
5,20639,36.669643,26.18954,-0.000586,46.64
6,24835,35.559322,25.594658,-0.000488,47.01
7,28934,38.308411,27.157495,-0.000844,46.08
8,33046,40.712871,29.354324,-0.000119,45.38
9,37159,37.733945,27.113115,-0.000445,45.94
10,41261,38.698113,27.419689,-0.000467,45.76
11,45394,37.572727,26.758558,-0.000285,46.0
12,49525,37.899083,26.466683,-0.000316,46.76
13,53657,40.910891,29.722536,-0.000418,46.14
14,57795,43.557895,30.767816,-0.000296,46.0
15,61900,48.869048,36.397413,-0.000352,45.35
16,66023,44.333333,32.484107,-0.000451,46.27
17,70124,42.278351,30.706306,-0.000751,45.92
18,74257,42.608247,30.840313,-0.000584,45.89
19,78360,45.087912,32.054456,-7.6e-05,46.21
20,82465,47.732558,34.489795,-0.000151,46.44
21,86581,51.45,38.243354,-0.00044,45.41
22,90832,47.233333,34.279088,-4.1e-05,48.15
23,94946,51.425,38.698438,-0.000402,45.45
24,99043,56.123288,42.54301,-0.000468,46.39
