iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4131,58.183099,40.545046,-0.000188,54.42
2,8422,52.975309,36.763541,-0.000132,56.88
3,12528,45.622222,30.694354,-0.000216,53.42
4,16661,53.675325,37.565582,-0.000216,54.78
5,20846,51.036585,35.902995,-0.000165,55.37
6,24960,57.943662,42.679468,-0.0002,54.09
7,29063,59.463768,41.872813,-0.000191,55.54
8,33384,51.440476,35.200476,-0.000193,57.77
9,37697,65.348485,47.094961,-0.000175,58.03
10,41796,66.112903,48.63895,-0.000244,55.55
11,45926,49.759036,35.208714,-0.000137,54.1
12,50024,58.542857,41.474594,-0.000143,54.35
