iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4102,18.816514,11.055815,-0.002966,62.8
2,8202,20.0,12.152474,-0.002037,54.09
3,12338,21.768421,13.173793,-0.001624,56.83
4,16440,21.819149,13.713289,-0.000861,60.59
5,20561,22.767956,14.631331,-0.000886,58.35
6,24661,23.163842,14.942067,-0.000822,54.74
7,28764,22.921788,14.058436,-0.001087,57.31
8,32874,26.688312,17.387828,-0.000884,61.58
9,36974,27.891156,18.089991,-0.000504,61.65
10,41085,26.352564,16.902724,-0.000459,61.49
11,45182,25.290123,16.242776,-0.000895,59.3
12,49322,29.15493,18.776657,-0.000518,60.95
13,53440,30.058394,20.349721,-0.000709,65.05
14,57543,30.849624,20.602872,-0.000625,57.56
15,61657,29.385714,19.598803,-0.000565,56.46
16,65780,31.0,21.005671,-0.000518,55.94
17,69913,29.733813,19.661124,-0.000705,56.92
18,74012,32.531746,22.308859,-0.001176,58.54
19,78174,30.379562,20.42594,-0.001323,57.0
20,82303,37.880734,26.679702,-0.000929,56.34
21,86408,36.008772,25.049646,-2.9e-05,56.6
22,90539,33.314516,23.175149,-0.001041,56.21
23,94761,37.362832,25.611962,-0.000406,58.4
24,98881,37.798165,26.425788,-0.000385,58.01
25,102990,36.04386,25.24763,-0.000317,57.16
