iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,avg_action_std,iteration_seconds
1,4102,9.980535,5.890134,-0.001504,0.222798,53.36
2,8198,10.583979,6.397961,-0.001535,0.222762,53.79
3,12296,9.665094,5.608126,-0.000975,0.222709,55.87
4,16395,9.577103,5.517549,-0.001211,0.222654,54.08
5,20494,9.997561,5.886479,-0.001568,0.222587,54.61
6,24608,11.0,6.734233,-0.001135,0.222541,55.39
7,28708,11.171662,6.868335,-0.001028,0.222498,54.3
8,32804,10.864721,6.619749,-0.001489,0.222472,53.04
9,36906,11.394444,7.120692,-0.001243,0.222446,52.87
10,41015,11.350829,7.094524,-0.001084,0.222429,53.74
11,45116,11.113821,6.794701,-0.000794,0.222419,54.53
12,49243,13.018927,8.497703,-0.000829,0.222391,53.24
