iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4114,24.634731,15.754736,-0.000698,37.87
2,8212,24.105882,15.557609,-0.000653,37.72
3,12339,26.455128,17.589817,-0.000741,37.54
4,16486,26.414013,17.268893,-0.000666,38.33
5,20584,27.139073,18.293944,-0.001016,37.9
6,24690,27.931973,18.675098,-0.000685,37.59
7,28803,27.790541,18.864214,-0.000697,37.79
8,32936,32.289062,22.427111,-0.000506,38.82
9,37046,28.741259,19.828658,-0.000811,37.55
10,41145,29.489209,20.527729,-0.00065,37.6
11,45304,29.707143,20.395492,-0.000736,38.06
12,49526,29.732394,20.539703,-0.000686,38.99
