iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4117,35.491379,24.996993,-0.000705,40.59
2,8254,35.358974,24.856074,-0.00075,40.61
3,12407,35.495726,24.380426,-0.00059,41.5
4,16531,37.490909,26.196686,-0.001016,41.3
5,20643,45.688889,33.273821,-0.001011,40.51
6,24744,39.057143,27.246652,-0.000344,40.28
7,28871,49.722892,36.348833,-0.000877,41.22
8,33031,50.731707,37.337082,-0.00064,41.37
9,37144,60.485294,45.476134,-0.000645,40.96
10,41249,49.457831,36.115201,-0.000514,40.69
11,45349,50.617284,37.354337,-0.000599,40.97
12,49446,60.25,45.662274,-0.000616,40.52
13,53577,49.178571,36.690022,-0.000622,40.94
14,57701,47.953488,34.699951,-0.000705,41.05
15,61868,78.622642,60.742315,-0.000576,42.98
16,65992,58.914286,44.555539,-0.000779,40.84
17,70094,67.245902,51.112183,-0.000163,41.37
18,74203,74.709091,56.966517,-0.001065,41.75
19,78312,87.425532,68.15149,-0.001428,41.68
20,82463,138.366667,110.97013,-7.6e-05,42.6
21,86821,77.821429,59.545445,-0.000143,43.53
22,90937,80.705882,62.253999,-0.000398,41.69
23,95150,61.057971,45.212497,-0.001199,41.62
24,99263,80.647059,62.559903,-0.000143,42.72
