iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4377,71.754098,51.879181,-0.000481,53.75
2,8549,101.756098,77.001116,-0.001053,51.31
3,12684,100.853659,75.694731,-0.000716,51.44
4,16788,82.08,60.501074,-0.000538,50.79
5,21009,95.931818,70.869454,-0.000229,52.6
6,25377,112.0,85.200162,-0.000341,54.63
7,29517,108.947368,83.099464,-0.000269,52.16
8,33737,89.787234,67.039468,-0.000344,52.05
9,37849,93.454545,68.727762,-0.000368,50.88
10,42082,88.1875,66.078629,-0.000487,53.45
11,46343,92.630435,68.87857,-0.00048,53.05
12,50490,98.738095,73.954842,-0.000139,51.49
