iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4160,36.491228,26.030807,-0.000433,45.75
2,8269,38.046296,27.093485,-0.000257,45.3
3,12368,38.308411,27.294755,-0.000232,45.78
4,16502,38.635514,27.109861,-0.000363,46.33
5,20611,38.764151,27.625669,-0.000678,45.63
6,24744,42.173469,30.785697,-0.000278,45.52
7,28857,42.84375,30.459763,-0.000697,46.09
8,32957,39.423077,27.635438,-0.000217,44.64
9,37072,40.343137,28.178925,-0.000651,45.15
10,41180,42.350515,30.316439,-0.000327,45.15
11,45336,45.173913,32.428055,-0.000111,45.79
12,49531,47.670455,34.807689,-0.000401,46.47
13,53650,46.280899,32.723724,-0.000707,46.19
14,57847,47.693182,34.514103,0.000274,47.14
15,62006,47.261364,34.147143,-0.000458,45.94
16,66154,48.8,35.670738,-0.00026,45.86
17,70298,54.526316,40.555849,-0.000129,45.57
18,74414,50.195122,36.450848,-0.000159,45.41
19,78605,55.144737,41.245875,-0.00059,46.59
20,82701,49.95122,36.481248,-0.000843,44.85
21,86831,56.575342,42.649981,-0.000863,44.83
22,90950,52.139241,37.910157,-0.000927,45.26
23,95082,49.783133,35.969598,-0.000595,45.41
24,99187,65.15873,47.963136,-0.000237,45.54
