iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4098,18.132743,11.019306,-0.002613,44.79
2,8200,18.394619,11.16587,-0.002529,43.41
3,12310,19.571429,12.056456,-0.002562,43.11
4,16436,18.754545,11.116586,-0.001665,47.04
5,20542,23.067416,14.714172,-0.001428,45.91
6,24647,22.554945,14.071083,-0.001358,41.95
7,28797,24.702381,15.503962,-0.00113,49.47
8,32894,22.145946,13.798063,-0.000909,48.96
9,37029,26.006289,16.983091,-0.001021,49.71
10,41132,28.493056,18.999389,-0.000339,48.06
11,45237,25.65625,16.739895,-0.000406,48.91
12,49349,27.413333,18.011655,-0.000476,49.33
13,53449,26.797386,17.747043,-0.00057,43.8
14,57562,28.5625,19.020113,-0.000645,44.86
15,61684,29.028169,19.302543,-0.000699,46.29
16,65822,27.403974,18.215745,-0.000753,49.08
17,69925,29.948905,20.262768,-0.000899,47.57
18,74058,33.330645,23.162129,-0.000702,49.94
19,78168,27.218543,17.965131,-0.000804,46.75
20,82272,34.487395,23.839343,-0.000788,47.41
21,86378,33.112903,22.178702,-0.000561,46.5
22,90501,34.358333,23.770882,-0.000805,45.13
23,94627,38.203704,27.088181,-0.000629,50.6
24,98753,34.966102,24.047946,-0.000764,48.88
25,102910,37.116071,25.961352,-0.000768,49.24
