iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4136,17.020576,10.101337,-0.006693,47.86
2,8264,20.038835,12.269518,-0.004094,48.08
3,12382,24.081871,15.739226,-0.001664,46.82
4,16479,24.242604,15.672132,-0.000797,46.59
5,20608,23.067039,14.61371,-0.000714,47.11
6,24732,23.431818,14.951205,-0.000662,47.06
7,28838,24.295858,15.310197,-0.001143,47.27
8,32974,23.5,15.104643,-0.001082,47.58
9,37073,26.275641,17.858069,-0.000573,46.66
10,41169,25.6,16.987183,-0.000974,46.62
11,45265,25.440994,16.669172,-0.000599,47.98
12,49367,28.289655,18.742934,-0.000765,46.73
13,53488,32.448819,22.758807,-0.000742,46.83
14,57585,29.688406,19.783418,-0.000508,46.2
15,61710,28.645833,19.447728,-0.000656,46.82
16,65808,29.695652,19.984667,-0.000629,46.72
17,69904,27.306667,18.383415,-0.000615,46.3
18,74002,28.262069,19.402817,-0.000737,46.54
19,78102,31.538462,21.864814,-0.001232,47.12
20,82198,28.84507,19.911423,-0.00072,46.57
21,86336,33.104,23.479884,-0.000227,46.74
22,90458,34.638655,24.681961,-0.000512,46.86
23,94608,35.470085,25.261976,-0.000338,47.13
24,98729,32.195312,22.602281,-0.000498,47.11
25,102832,35.678261,25.757609,-0.00062,46.47
26,106957,33.266129,23.61124,-0.000513,46.52
27,111058,36.616071,26.13405,-0.001286,46.13
28,115160,34.470588,24.648394,-0.000112,46.24
29,119328,37.54955,26.972794,-0.001177,48.3
30,123527,40.375,29.272412,-0.000476,47.55
31,127628,39.815534,28.663847,-0.000264,46.71
32,131728,39.805825,28.788532,-0.000252,46.22
33,135842,39.180952,28.331428,-0.000697,47.02
34,139941,44.554348,33.454033,-0.000645,46.5
35,144108,45.293478,33.605079,-0.00048,46.91
36,148226,47.333333,35.020259,-0.000191,46.46
37,152332,43.680851,31.982136,-0.000386,46.8
38,156431,46.579545,34.064292,-0.000605,47.07
39,160529,42.247423,30.768787,-0.000949,46.44
40,164746,52.061728,38.856476,-0.000282,48.71
41,168863,47.321839,35.012534,-0.000692,46.52
42,172983,49.638554,37.28416,-0.000138,46.48
43,177081,48.211765,35.025827,-0.000459,47.07
44,181212,60.75,46.150016,-0.000345,46.92
45,185309,48.77381,36.11663,-0.000245,46.22
46,189414,57.816901,43.645506,-0.000445,46.63
47,193518,56.219178,42.395722,-0.000179,46.81
48,197664,65.809524,48.788141,-0.00046,47.45
49,201923,72.186441,55.180106,4e-05,48.11
