iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4108,20.039024,13.00962,-0.001811,29.99
2,8212,19.730769,12.759721,-0.001268,29.95
3,12349,21.888889,14.578198,-0.001575,40.62
4,16448,22.156757,14.68848,-0.001178,56.4
5,20551,22.794444,15.294969,-0.001107,60.54
6,24677,24.128655,16.440844,-0.00095,56.48
7,28788,24.470238,16.471266,-0.001021,55.47
8,32995,26.29375,18.162855,-0.000625,54.54
9,37163,26.05,18.154653,-0.000455,54.64
10,41269,24.011696,16.356699,-0.000467,53.34
11,45370,26.62987,18.724177,-0.000624,52.41
12,49516,29.404255,21.095374,-0.000337,53.59
13,53630,27.065789,19.176204,-0.000592,53.12
14,57726,26.25641,17.909669,-0.000493,53.09
15,61831,30.634328,21.857291,-0.000391,54.08
16,65934,27.722973,19.60858,-0.000484,55.1
17,70048,27.065789,19.06155,-0.000454,58.49
18,74164,28.386207,20.299826,-0.000404,2622.75
19,78275,32.117188,22.872755,-0.000525,1620.07
20,82376,31.546154,22.834954,-0.00058,303.48
21,86480,34.2,24.754554,-0.000577,50.38
22,90577,31.515385,22.587388,-0.000439,50.26
23,94673,32.0,23.339462,-0.000582,50.06
24,98811,33.370968,24.593869,-0.000638,50.89
25,102925,34.864407,25.43166,-0.000535,49.93
