model,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario
mlp_baseline,56789,1,1000,436.70099401851195,525,0,0,0,1,overtake_easy
mlp_baseline,56789,2,1001,31.419031373772786,38,1,0,1,0,overtake_easy
mlp_baseline,56789,3,1002,31.110820524453878,49,1,0,1,0,overtake_easy
mlp_baseline,56789,4,1003,44.293360374646035,52,1,0,1,0,overtake_easy
mlp_baseline,56789,5,1004,45.07204092556177,53,1,0,1,0,overtake_easy
mlp_baseline,56789,6,1005,442.7800642113398,525,0,0,0,1,stay_best
mlp_baseline,56789,7,1006,21.557648583253957,37,1,0,1,0,overtake_easy
mlp_baseline,56789,8,1007,440.84999670532284,525,0,0,0,1,overtake_blocked
mlp_baseline,56789,9,1008,25.62778659116134,41,1,0,1,0,overtake_blocked
mlp_baseline,56789,10,1009,436.4498558305795,525,0,0,0,1,overtake_easy
mlp_baseline,56789,11,1010,438.54942485476187,525,0,0,0,1,overtake_easy
mlp_baseline,56789,12,1011,441.2234084831122,525,0,0,0,1,overtake_easy
mlp_baseline,56789,13,1012,44.1251176788805,52,1,0,1,0,overtake_easy
mlp_baseline,56789,14,1013,194.12817244341252,244,1,0,1,0,overtake_easy
mlp_baseline,56789,15,1014,42.829469008113946,66,1,0,1,0,overtake_easy
mlp_baseline,56789,16,1015,25.90250529235466,44,1,0,1,0,overtake_easy
mlp_baseline,56789,17,1016,25.989530200160765,44,1,0,1,0,overtake_easy
mlp_baseline,56789,18,1017,95.35347619609081,119,1,0,1,0,overtake_blocked
mlp_baseline,56789,19,1018,436.18733012194366,525,0,0,0,1,overtake_easy
mlp_baseline,56789,20,1019,31.761646950905373,50,1,0,1,0,overtake_easy
mlp_baseline,56789,21,1020,44.14412057490964,52,1,0,1,0,overtake_easy
mlp_baseline,56789,22,1021,43.619068137490075,51,1,0,1,0,overtake_easy
mlp_baseline,56789,23,1022,442.93086651461886,525,0,0,0,1,stay_best
mlp_baseline,56789,24,1023,441.3404561149903,525,0,0,0,1,stay_best
mlp_baseline,56789,25,1024,29.420668683149945,50,1,0,1,0,overtake_easy
mlp_baseline,56789,26,1025,440.6335291634441,525,0,0,0,1,overtake_easy
mlp_baseline,56789,27,1026,18.918310332056247,34,1,0,1,0,overtake_easy
mlp_baseline,56789,28,1027,27.046136229475533,40,1,0,1,0,overtake_easy
mlp_baseline,56789,29,1028,25.47151924083153,43,1,0,1,0,overtake_easy
mlp_baseline,56789,30,1029,19.586004387210934,33,1,0,1,0,overtake_blocked
mlp_baseline,56789,31,1030,33.230100215211365,51,1,0,1,0,overtake_easy
mlp_baseline,56789,32,1031,67.00315439334666,81,1,0,1,0,stay_best
mlp_baseline,56789,33,1032,38.610222875677586,60,1,0,1,0,overtake_easy
mlp_baseline,56789,34,1033,33.971897942558925,54,1,0,1,0,overtake_blocked
mlp_baseline,56789,35,1034,25.09912842191584,41,1,0,1,0,overtake_easy
mlp_baseline,56789,36,1035,441.3122249895396,525,0,0,0,1,overtake_easy
mlp_baseline,56789,37,1036,23.267195620515878,40,1,0,1,0,overtake_blocked
mlp_baseline,56789,38,1037,30.615196773208048,48,1,0,1,0,overtake_easy
mlp_baseline,56789,39,1038,28.996165650990218,43,1,0,1,0,overtake_easy
mlp_baseline,56789,40,1039,33.63012453185323,55,1,0,1,0,overtake_easy
mlp_baseline,56789,41,1040,439.7389048733234,525,0,0,0,1,overtake_easy
mlp_baseline,56789,42,1041,42.25283572206053,52,1,0,1,0,overtake_easy
mlp_baseline,56789,43,1042,45.08158631545047,53,1,0,1,0,overtake_easy
mlp_baseline,56789,44,1043,41.21900329648669,50,1,0,1,0,overtake_easy
mlp_baseline,56789,45,1044,439.88862272679177,525,0,0,0,1,overtake_blocked
mlp_baseline,56789,46,1045,41.192493699932086,48,1,0,1,0,overtake_easy
mlp_baseline,56789,47,1046,57.88405796233603,78,1,0,1,0,overtake_blocked
mlp_baseline,56789,48,1047,47.33811364256902,56,1,0,1,0,overtake_easy
mlp_baseline,56789,49,1048,41.966762857844124,51,1,0,1,0,overtake_easy
mlp_baseline,56789,50,1049,50.071920288192864,61,1,0,1,0,overtake_easy
