iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4097,13.476974,7.758149,-0.003289,66.89
2,8207,14.221453,8.406293,-0.003232,64.86
3,12309,14.342657,8.610715,-0.002773,60.74
4,16408,14.744604,8.901822,-0.002785,67.11
5,20509,15.417293,9.298677,-0.00301,69.67
6,24608,18.802752,12.027626,-0.003062,66.31
7,28709,17.451064,10.936424,-0.00251,72.37
8,32811,19.816425,12.724735,-0.002306,73.52
9,36918,20.638191,13.49939,-0.001723,63.76
10,41020,20.928571,13.380206,-0.001304,91.0
11,45119,23.158192,15.293213,-0.00139,82.73
12,49215,23.141243,14.954199,-0.000589,73.5
13,53366,23.856322,15.96841,-0.000827,68.84
14,57480,23.11236,15.451403,-0.000519,65.92
15,61586,25.823899,17.373069,-0.000299,62.24
16,65716,27.171053,18.803536,-0.00067,59.79
17,69856,27.236842,18.778639,-0.000355,59.1
18,73955,25.943038,17.574747,-0.000427,58.41
19,78100,25.121212,17.080644,-0.000517,58.2
20,82207,29.335714,20.291927,-0.000425,57.36
21,86331,28.839161,19.926972,-0.00036,57.7
22,90431,29.078014,20.449403,-0.000516,57.35
23,94527,30.340741,21.300394,-0.000382,57.59
24,98626,28.866197,20.147133,-0.000536,57.57
25,102723,30.125,21.340256,-0.000566,58.2
