iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4124,21.367876,14.070227,-0.002712,60.97
2,8221,21.792553,14.337761,-0.001841,58.94
3,12324,26.301282,18.165983,-0.000554,61.36
4,16451,25.319018,17.006008,-0.000553,60.41
5,20593,24.951807,16.939933,-0.001038,70.0
6,24691,26.43871,18.548439,-0.001046,121.26
7,28799,29.553957,20.525481,-0.000516,95.84
8,32917,29.625899,20.778511,-0.001207,69.65
9,37013,29.257143,20.477313,-0.000876,57.75
10,41117,28.303448,19.839386,-0.00058,58.44
11,45229,32.896,23.266436,-0.000693,55.52
12,49329,33.884298,24.233986,-0.000528,57.1
13,53427,32.015625,22.707191,-0.000726,57.88
14,57589,31.530303,22.329584,-0.000483,59.35
15,61713,32.21875,22.86148,-0.000636,61.94
16,65823,35.73913,25.525315,-0.000893,123.87
17,69945,31.227273,22.094222,-0.000526,62.98
18,74046,32.808,23.396265,-0.000666,72.1
19,78172,34.099174,24.525251,-0.000503,74.94
20,82319,39.875,29.081853,-0.000643,117.31
21,86417,36.918919,26.699749,-0.000459,102.25
22,90524,37.0,26.880393,-0.000346,85.24
23,94635,39.912621,29.478936,-0.000716,78.41
24,98749,39.941748,29.010624,-0.000173,79.88
25,102866,39.209524,28.522866,-0.000389,79.21
