model,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario
deep_sets_mean,12345,1,1000,437.758579356623,525,0,0,0,1,overtake_easy
deep_sets_mean,12345,2,1001,437.54507518566885,525,0,0,0,1,overtake_easy
deep_sets_mean,12345,3,1002,20.07834766061314,33,1,0,1,0,overtake_easy
deep_sets_mean,12345,4,1003,34.941848581457975,44,1,0,1,0,overtake_easy
deep_sets_mean,12345,5,1004,435.64529248791195,525,0,0,0,1,overtake_easy
deep_sets_mean,12345,6,1005,440.39418431680383,525,0,0,0,1,stay_best
deep_sets_mean,12345,7,1006,15.118187499397692,26,1,0,1,0,overtake_easy
deep_sets_mean,12345,8,1007,50.5470345010684,69,1,0,1,0,overtake_blocked
deep_sets_mean,12345,9,1008,16.39764207903746,32,1,0,1,0,overtake_blocked
deep_sets_mean,12345,10,1009,436.6591586790245,525,0,0,0,1,overtake_easy
deep_sets_mean,12345,11,1010,40.37208512524707,48,1,0,1,0,overtake_easy
deep_sets_mean,12345,12,1011,438.33173690430186,525,0,0,0,1,overtake_easy
deep_sets_mean,12345,13,1012,437.95402073804325,525,0,0,0,1,overtake_blocked
deep_sets_mean,12345,14,1013,438.0237849668652,525,0,0,0,1,overtake_easy
deep_sets_mean,12345,15,1014,26.178863317782525,43,1,0,1,0,overtake_easy
deep_sets_mean,12345,16,1015,17.33011218253289,30,1,0,1,0,overtake_easy
deep_sets_mean,12345,17,1016,18.218846841782685,30,1,0,1,0,overtake_easy
deep_sets_mean,12345,18,1017,27.967092478061197,41,1,0,1,0,overtake_blocked
deep_sets_mean,12345,19,1018,37.53098883586806,45,1,0,1,0,overtake_easy
deep_sets_mean,12345,20,1019,17.487169976874974,33,1,0,1,0,overtake_easy
deep_sets_mean,12345,21,1020,437.813379576868,525,0,0,0,1,overtake_easy
deep_sets_mean,12345,22,1021,33.99062786737798,41,1,0,1,0,overtake_easy
deep_sets_mean,12345,23,1022,439.51169016532293,525,0,0,0,1,stay_best
deep_sets_mean,12345,24,1023,438.00654324458213,525,0,0,0,1,stay_best
deep_sets_mean,12345,25,1024,17.836041807411213,34,1,0,1,0,overtake_easy
deep_sets_mean,12345,26,1025,437.406597797176,525,0,0,0,1,overtake_easy
deep_sets_mean,12345,27,1026,14.513879590052738,23,1,0,1,0,overtake_easy
deep_sets_mean,12345,28,1027,17.312224914280186,28,1,0,1,0,overtake_easy
deep_sets_mean,12345,29,1028,19.569085672364054,31,1,0,1,0,overtake_easy
deep_sets_mean,12345,30,1029,10.854823574191176,22,1,0,1,0,overtake_blocked
deep_sets_mean,12345,31,1030,23.42155845085479,37,1,0,1,0,overtake_easy
deep_sets_mean,12345,32,1031,41.403253461054135,53,1,0,1,0,stay_best
deep_sets_mean,12345,33,1032,26.06245210532188,43,1,0,1,0,overtake_easy
deep_sets_mean,12345,34,1033,85.27648968940204,105,1,0,1,0,stay_best
deep_sets_mean,12345,35,1034,15.943302565036946,28,1,0,1,0,overtake_easy
deep_sets_mean,12345,36,1035,36.78926601778505,44,1,0,1,0,overtake_easy
deep_sets_mean,12345,37,1036,17.008833810507934,27,1,0,1,0,overtake_blocked
deep_sets_mean,12345,38,1037,20.868820511336047,33,1,0,1,0,overtake_easy
deep_sets_mean,12345,39,1038,18.42260462406753,27,1,0,1,0,overtake_easy
deep_sets_mean,12345,40,1039,19.29047474920133,36,1,0,1,0,overtake_easy
deep_sets_mean,12345,41,1040,437.13057026386,525,0,0,0,1,overtake_blocked
deep_sets_mean,12345,42,1041,438.1931008498114,525,0,0,0,1,overtake_easy
deep_sets_mean,12345,43,1042,437.55278920419823,525,0,0,0,1,overtake_easy
deep_sets_mean,12345,44,1043,438.2833688275992,525,0,0,0,1,overtake_easy
deep_sets_mean,12345,45,1044,436.23076894535694,525,0,0,0,1,stay_best
deep_sets_mean,12345,46,1045,438.837266181131,525,0,0,0,1,overtake_easy
deep_sets_mean,12345,47,1046,435.63860140228996,525,0,0,0,1,overtake_blocked
deep_sets_mean,12345,48,1047,437.051247121475,525,0,0,0,1,overtake_easy
deep_sets_mean,12345,49,1048,437.4336238659866,525,0,0,0,1,overtake_easy
deep_sets_mean,12345,50,1049,35.74469212285643,43,1,0,1,0,overtake_easy
