iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4099,23.422857,15.168228,-0.002412,43.7
2,8196,22.761111,14.594417,-0.001048,45.78
3,12320,24.694611,15.949042,-0.000595,44.36
4,16429,25.521739,16.599547,-0.001454,44.17
5,20553,31.480916,22.089736,-0.000723,43.66
6,24664,22.96648,14.906469,-0.000519,44.69
7,28764,27.891156,18.893878,-0.000763,43.13
8,32864,31.060606,21.253493,-0.000338,42.98
9,36967,31.083333,21.233947,-0.000517,45.32
10,41152,28.277027,19.478811,-0.000817,44.05
11,45249,30.574627,21.24925,-0.000629,40.22
12,49382,33.064,23.413382,-0.000469,40.73
13,53517,29.326241,20.150076,-0.000879,37.75
14,57620,33.08871,23.182525,-0.001528,41.78
15,61728,36.353982,26.102904,-0.000926,38.71
16,65829,36.945946,26.487633,0.00018,40.97
17,69933,43.2,31.377197,-0.000965,38.29
18,74050,39.209524,28.223132,-0.000726,36.57
19,78165,34.579832,24.239629,0.000109,45.0
20,82277,42.391753,31.339927,-0.000622,39.61
21,86401,40.431373,29.095828,-0.000473,40.81
22,90567,37.531532,26.773233,-0.000398,40.19
23,94707,44.042553,31.772659,-0.000242,38.69
24,98885,37.981818,27.010853,-0.000451,40.18
25,103129,49.929412,37.176786,-0.000304,44.2
