model,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario
deep_sets_mean,34567,1,1000,438.28190406767396,525,0,0,0,1,overtake_easy
deep_sets_mean,34567,2,1001,29.261183048485545,36,1,0,1,0,overtake_easy
deep_sets_mean,34567,3,1002,17.76787617166159,32,1,0,1,0,overtake_easy
deep_sets_mean,34567,4,1003,434.74043695795206,525,0,0,0,1,overtake_easy
deep_sets_mean,34567,5,1004,437.3979817371128,525,0,0,0,1,overtake_easy
deep_sets_mean,34567,6,1005,440.3232114391138,525,0,0,0,1,stay_best
deep_sets_mean,34567,7,1006,12.996956256241026,25,1,0,1,0,overtake_easy
deep_sets_mean,34567,8,1007,30.092989567411294,44,1,0,1,0,overtake_blocked
deep_sets_mean,34567,9,1008,16.431568306762827,32,1,0,1,0,overtake_blocked
deep_sets_mean,34567,10,1009,433.91967100877844,525,0,0,0,1,overtake_easy
deep_sets_mean,34567,11,1010,31.394058466767003,39,1,0,1,0,overtake_easy
deep_sets_mean,34567,12,1011,438.9259530318285,525,0,0,0,1,overtake_easy
deep_sets_mean,34567,13,1012,26.073698483329437,32,1,0,1,0,overtake_blocked
deep_sets_mean,34567,14,1013,438.1385422318975,525,0,0,0,1,overtake_easy
deep_sets_mean,34567,15,1014,23.667858597250028,42,1,0,1,0,overtake_easy
deep_sets_mean,34567,16,1015,15.84830917718304,29,1,0,1,0,overtake_easy
deep_sets_mean,34567,17,1016,15.242949462716767,29,1,0,1,0,overtake_easy
deep_sets_mean,34567,18,1017,24.950939607914794,39,1,0,1,0,overtake_blocked
deep_sets_mean,34567,19,1018,29.39758891648864,38,1,0,1,0,overtake_easy
deep_sets_mean,34567,20,1019,17.14330574237714,32,1,0,1,0,overtake_easy
deep_sets_mean,34567,21,1020,436.29008840169803,525,0,0,0,1,overtake_easy
deep_sets_mean,34567,22,1021,439.28007577528683,525,0,0,0,1,overtake_easy
deep_sets_mean,34567,23,1022,440.15847536527167,525,0,0,0,1,stay_best
deep_sets_mean,34567,24,1023,439.4154067691705,525,0,0,0,1,stay_best
deep_sets_mean,34567,25,1024,17.883347064003146,34,1,0,1,0,overtake_easy
deep_sets_mean,34567,26,1025,437.9963094737054,525,0,0,0,1,overtake_easy
deep_sets_mean,34567,27,1026,11.194684133128218,22,1,0,1,0,overtake_easy
deep_sets_mean,34567,28,1027,14.580766055459375,27,1,0,1,0,overtake_easy
deep_sets_mean,34567,29,1028,16.429123040346337,30,1,0,1,0,overtake_easy
deep_sets_mean,34567,30,1029,10.880903234925878,22,1,0,1,0,overtake_blocked
deep_sets_mean,34567,31,1030,20.11569851034639,36,1,0,1,0,overtake_easy
deep_sets_mean,34567,32,1031,434.53514321483857,525,0,0,0,1,stay_best
deep_sets_mean,34567,33,1032,23.82549667572064,42,1,0,1,0,overtake_easy
deep_sets_mean,34567,34,1033,435.507289409978,525,0,0,0,1,stay_best
deep_sets_mean,34567,35,1034,14.065867961131849,28,1,0,1,0,overtake_easy
deep_sets_mean,34567,36,1035,439.6076475651542,525,0,0,0,1,overtake_easy
deep_sets_mean,34567,37,1036,14.35142891654711,27,1,0,1,0,overtake_blocked
deep_sets_mean,34567,38,1037,17.42832238511937,32,1,0,1,0,overtake_easy
deep_sets_mean,34567,39,1038,14.169273722509253,27,1,0,1,0,overtake_easy
deep_sets_mean,34567,40,1039,18.981902487501912,35,1,0,1,0,overtake_easy
deep_sets_mean,34567,41,1040,439.24990832640293,525,0,0,0,1,overtake_blocked
deep_sets_mean,34567,42,1041,29.557545521313916,37,1,0,1,0,overtake_easy
deep_sets_mean,34567,43,1042,30.791516345833692,38,1,0,1,0,overtake_easy
deep_sets_mean,34567,44,1043,438.50342387927276,525,0,0,0,1,overtake_easy
deep_sets_mean,34567,45,1044,440.526613824291,525,0,0,0,1,stay_best
deep_sets_mean,34567,46,1045,30.068636149284085,36,1,0,1,0,overtake_easy
deep_sets_mean,34567,47,1046,100.34865970094813,125,1,0,1,0,overtake_blocked
deep_sets_mean,34567,48,1047,438.8538061748751,525,0,0,0,1,overtake_easy
deep_sets_mean,34567,49,1048,27.935878365026213,35,1,0,1,0,overtake_easy
deep_sets_mean,34567,50,1049,29.75305933706113,36,1,0,1,0,overtake_easy
