iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4110,18.853211,11.375478,-0.002847,68.13
2,8206,21.005128,13.2748,-0.001483,68.23
3,12305,21.238342,13.213692,-0.000812,67.81
4,16405,22.651934,14.552215,-0.000659,67.56
5,20522,23.0,14.965631,-0.000754,67.78
6,24695,24.121387,15.896027,-0.000818,68.07
7,28863,24.662722,16.274952,-0.000777,68.41
8,32977,24.488095,16.025328,-0.000789,66.86
9,37082,25.981013,17.391688,-0.000394,67.44
10,41231,25.145455,17.040938,-0.000876,67.84
11,45356,23.305085,15.147111,-0.000911,67.72
12,49462,24.73494,16.706717,-0.000569,67.19
13,53565,29.948905,20.879732,-0.000798,68.1
14,57694,28.280822,19.425143,-0.001282,67.51
15,61824,27.533333,18.995449,-0.000759,67.6
16,65949,29.255319,19.989228,-0.000567,67.26
17,70053,30.857143,21.86269,-0.001293,66.86
18,74205,31.694656,22.742341,-0.000397,67.53
19,78324,28.604167,19.745353,-0.000433,68.04
20,82444,30.977444,22.02264,-0.001166,66.93
21,86573,32.257812,22.875393,-0.001048,67.57
22,90683,30.220588,21.318678,-0.000574,66.6
23,94780,32.515873,23.829945,-0.00044,67.5
24,98914,28.909091,20.266532,-0.001174,67.82
25,103015,31.546154,22.473231,-0.001085,72.71
26,107124,33.137097,23.873108,-0.000802,76.15
27,111243,36.776786,27.528027,-0.000384,75.23
28,115342,33.056452,24.134235,-0.000751,4623.65
29,119442,34.453782,25.037296,-0.000576,85.23
30,123602,40.784314,30.228325,-0.000273,80.3
31,127720,35.5,25.908873,-0.000453,75.09
32,131855,44.462366,34.211674,-0.000391,74.72
33,135970,48.411765,37.329683,-0.000596,76.05
34,140072,43.178947,32.5504,-0.000186,75.99
35,144172,38.679245,28.966702,-0.000389,77.31
36,148278,50.691358,39.174665,-0.000269,79.86
37,152382,44.129032,33.673361,-0.000267,78.93
38,156505,41.23,31.038943,-0.000685,86.93
39,160603,43.595745,33.065329,-0.00057,95.94
40,164717,45.711111,34.718851,-0.000225,95.0
41,168853,48.658824,37.144145,-0.001251,95.0
42,172957,48.282353,36.978301,-0.000685,103.6
43,177062,45.611111,34.217398,-0.000359,120.03
44,181166,51.949367,39.849792,-0.000297,133.84
45,185276,47.790698,36.917477,-0.001021,121.23
46,189389,54.84,42.291101,-0.000147,114.38
47,193491,51.275,38.80384,-0.000317,118.16
48,197749,56.773333,44.025007,-0.000857,132.93
49,201849,58.571429,45.180297,-0.000432,149.62
