"model","source_file","iteration","timesteps_so_far","avg_episodic_length","avg_episodic_return","avg_loss","iteration_seconds"
"basic_mlp","basic_mlp_01_curriculum_stage_1_open_lane_training.csv","1","4103","19.445498","13.174829","-0.002608","36.04"
"basic_mlp","basic_mlp_01_curriculum_stage_1_open_lane_training.csv","2","8232","22.938889","16.096015","-0.002062","34.5"
"basic_mlp","basic_mlp_01_curriculum_stage_1_open_lane_training.csv","3","12333","24.123529","16.997838","-0.00199","34.51"
"basic_mlp","basic_mlp_01_curriculum_stage_1_open_lane_training.csv","4","16445","26.191083","18.648541","-0.001421","34.44"
"basic_mlp","basic_mlp_01_curriculum_stage_1_open_lane_training.csv","5","20543","24.105882","17.021638","-0.001212","34.58"
"basic_mlp","basic_mlp_01_curriculum_stage_1_open_lane_training.csv","6","24650","27.938776","20.024087","-0.00075","34.98"
"basic_mlp","basic_mlp_02_curriculum_stage_2_easy_overtake_training.csv","1","4114","24.634731","15.754736","-0.000698","37.87"
"basic_mlp","basic_mlp_02_curriculum_stage_2_easy_overtake_training.csv","2","8212","24.105882","15.557609","-0.000653","37.72"
"basic_mlp","basic_mlp_02_curriculum_stage_2_easy_overtake_training.csv","3","12339","26.455128","17.589817","-0.000741","37.54"
"basic_mlp","basic_mlp_02_curriculum_stage_2_easy_overtake_training.csv","4","16486","26.414013","17.268893","-0.000666","38.33"
"basic_mlp","basic_mlp_02_curriculum_stage_2_easy_overtake_training.csv","5","20584","27.139073","18.293944","-0.001016","37.9"
"basic_mlp","basic_mlp_02_curriculum_stage_2_easy_overtake_training.csv","6","24690","27.931973","18.675098","-0.000685","37.59"
"basic_mlp","basic_mlp_02_curriculum_stage_2_easy_overtake_training.csv","7","28803","27.790541","18.864214","-0.000697","37.79"
"basic_mlp","basic_mlp_02_curriculum_stage_2_easy_overtake_training.csv","8","32936","32.289062","22.427111","-0.000506","38.82"
"basic_mlp","basic_mlp_02_curriculum_stage_2_easy_overtake_training.csv","9","37046","28.741259","19.828658","-0.000811","37.55"
"basic_mlp","basic_mlp_02_curriculum_stage_2_easy_overtake_training.csv","10","41145","29.489209","20.527729","-0.00065","37.6"
"basic_mlp","basic_mlp_02_curriculum_stage_2_easy_overtake_training.csv","11","45304","29.707143","20.395492","-0.000736","38.06"
"basic_mlp","basic_mlp_02_curriculum_stage_2_easy_overtake_training.csv","12","49526","29.732394","20.539703","-0.000686","38.99"
"basic_mlp","basic_mlp_03_curriculum_stage_3_mixed_traffic_training.csv","1","4117","35.491379","24.996993","-0.000705","40.59"
"basic_mlp","basic_mlp_03_curriculum_stage_3_mixed_traffic_training.csv","2","8254","35.358974","24.856074","-0.00075","40.61"
"basic_mlp","basic_mlp_03_curriculum_stage_3_mixed_traffic_training.csv","3","12407","35.495726","24.380426","-0.00059","41.5"
"basic_mlp","basic_mlp_03_curriculum_stage_3_mixed_traffic_training.csv","4","16531","37.490909","26.196686","-0.001016","41.3"
"basic_mlp","basic_mlp_03_curriculum_stage_3_mixed_traffic_training.csv","5","20643","45.688889","33.273821","-0.001011","40.51"
"basic_mlp","basic_mlp_03_curriculum_stage_3_mixed_traffic_training.csv","6","24744","39.057143","27.246652","-0.000344","40.28"
"basic_mlp","basic_mlp_03_curriculum_stage_3_mixed_traffic_training.csv","7","28871","49.722892","36.348833","-0.000877","41.22"
"basic_mlp","basic_mlp_03_curriculum_stage_3_mixed_traffic_training.csv","8","33031","50.731707","37.337082","-0.00064","41.37"
"basic_mlp","basic_mlp_03_curriculum_stage_3_mixed_traffic_training.csv","9","37144","60.485294","45.476134","-0.000645","40.96"
"basic_mlp","basic_mlp_03_curriculum_stage_3_mixed_traffic_training.csv","10","41249","49.457831","36.115201","-0.000514","40.69"
"basic_mlp","basic_mlp_03_curriculum_stage_3_mixed_traffic_training.csv","11","45349","50.617284","37.354337","-0.000599","40.97"
"basic_mlp","basic_mlp_03_curriculum_stage_3_mixed_traffic_training.csv","12","49446","60.25","45.662274","-0.000616","40.52"
"basic_mlp","basic_mlp_03_curriculum_stage_3_mixed_traffic_training.csv","13","53577","49.178571","36.690022","-0.000622","40.94"
"basic_mlp","basic_mlp_03_curriculum_stage_3_mixed_traffic_training.csv","14","57701","47.953488","34.699951","-0.000705","41.05"
"basic_mlp","basic_mlp_03_curriculum_stage_3_mixed_traffic_training.csv","15","61868","78.622642","60.742315","-0.000576","42.98"
"basic_mlp","basic_mlp_03_curriculum_stage_3_mixed_traffic_training.csv","16","65992","58.914286","44.555539","-0.000779","40.84"
"basic_mlp","basic_mlp_03_curriculum_stage_3_mixed_traffic_training.csv","17","70094","67.245902","51.112183","-0.000163","41.37"
"basic_mlp","basic_mlp_03_curriculum_stage_3_mixed_traffic_training.csv","18","74203","74.709091","56.966517","-0.001065","41.75"
"basic_mlp","basic_mlp_03_curriculum_stage_3_mixed_traffic_training.csv","19","78312","87.425532","68.15149","-0.001428","41.68"
"basic_mlp","basic_mlp_03_curriculum_stage_3_mixed_traffic_training.csv","20","82463","138.366667","110.97013","-7.6e-05","42.6"
"basic_mlp","basic_mlp_03_curriculum_stage_3_mixed_traffic_training.csv","21","86821","77.821429","59.545445","-0.000143","43.53"
"basic_mlp","basic_mlp_03_curriculum_stage_3_mixed_traffic_training.csv","22","90937","80.705882","62.253999","-0.000398","41.69"
"basic_mlp","basic_mlp_03_curriculum_stage_3_mixed_traffic_training.csv","23","95150","61.057971","45.212497","-0.001199","41.62"
"basic_mlp","basic_mlp_03_curriculum_stage_3_mixed_traffic_training.csv","24","99263","80.647059","62.559903","-0.000143","42.72"
"basic_mlp","basic_mlp_04_curriculum_stage_4_dense_traffic_training.csv","1","4377","71.754098","51.879181","-0.000481","53.75"
"basic_mlp","basic_mlp_04_curriculum_stage_4_dense_traffic_training.csv","2","8549","101.756098","77.001116","-0.001053","51.31"
"basic_mlp","basic_mlp_04_curriculum_stage_4_dense_traffic_training.csv","3","12684","100.853659","75.694731","-0.000716","51.44"
"basic_mlp","basic_mlp_04_curriculum_stage_4_dense_traffic_training.csv","4","16788","82.08","60.501074","-0.000538","50.79"
"basic_mlp","basic_mlp_04_curriculum_stage_4_dense_traffic_training.csv","5","21009","95.931818","70.869454","-0.000229","52.6"
"basic_mlp","basic_mlp_04_curriculum_stage_4_dense_traffic_training.csv","6","25377","112.0","85.200162","-0.000341","54.63"
"basic_mlp","basic_mlp_04_curriculum_stage_4_dense_traffic_training.csv","7","29517","108.947368","83.099464","-0.000269","52.16"
"basic_mlp","basic_mlp_04_curriculum_stage_4_dense_traffic_training.csv","8","33737","89.787234","67.039468","-0.000344","52.05"
"basic_mlp","basic_mlp_04_curriculum_stage_4_dense_traffic_training.csv","9","37849","93.454545","68.727762","-0.000368","50.88"
"basic_mlp","basic_mlp_04_curriculum_stage_4_dense_traffic_training.csv","10","42082","88.1875","66.078629","-0.000487","53.45"
"basic_mlp","basic_mlp_04_curriculum_stage_4_dense_traffic_training.csv","11","46343","92.630435","68.87857","-0.00048","53.05"
"basic_mlp","basic_mlp_04_curriculum_stage_4_dense_traffic_training.csv","12","50490","98.738095","73.954842","-0.000139","51.49"
"deep_sets_mean","01_curriculum_stage_1_open_lane_training.csv","1","4103","12.067647","7.185309","-0.00647","42.31"
"deep_sets_mean","01_curriculum_stage_1_open_lane_training.csv","2","8208","13.371336","8.258546","-0.007292","42.18"
"deep_sets_mean","01_curriculum_stage_1_open_lane_training.csv","3","12316","14.619217","9.34034","-0.006294","41.11"
"deep_sets_mean","01_curriculum_stage_1_open_lane_training.csv","4","16423","16.560484","10.948674","-0.006243","41.3"
"deep_sets_mean","01_curriculum_stage_1_open_lane_training.csv","5","20526","18.99537","12.967565","-0.00537","40.57"
"deep_sets_mean","01_curriculum_stage_1_open_lane_training.csv","6","24626","21.808511","15.400262","-0.003514","40.42"
"deep_sets_mean","02_curriculum_stage_2_easy_overtake_training.csv","1","4118","22.626374","14.602655","-0.00193","44.37"
"deep_sets_mean","02_curriculum_stage_2_easy_overtake_training.csv","2","8232","22.729282","15.041652","-0.000913","43.88"
"deep_sets_mean","02_curriculum_stage_2_easy_overtake_training.csv","3","12340","22.949721","15.073234","-0.0003","44.38"
"deep_sets_mean","02_curriculum_stage_2_easy_overtake_training.csv","4","16457","23.392045","15.352532","-0.000517","44.28"
"deep_sets_mean","02_curriculum_stage_2_easy_overtake_training.csv","5","20573","23.655172","15.606809","-0.000705","44.54"
"deep_sets_mean","02_curriculum_stage_2_easy_overtake_training.csv","6","24670","23.819767","15.640855","-0.000388","43.69"
"deep_sets_mean","02_curriculum_stage_2_easy_overtake_training.csv","7","28806","24.766467","16.722134","-0.001278","44.37"
"deep_sets_mean","02_curriculum_stage_2_easy_overtake_training.csv","8","32923","26.391026","17.886572","-0.001043","44.12"
"deep_sets_mean","02_curriculum_stage_2_easy_overtake_training.csv","9","37031","24.023392","16.11815","-0.000344","44.18"
"deep_sets_mean","02_curriculum_stage_2_easy_overtake_training.csv","10","41134","24.716867","16.425","-0.000285","43.8"
"deep_sets_mean","02_curriculum_stage_2_easy_overtake_training.csv","11","45245","26.352564","17.792636","-0.000402","44.01"
"deep_sets_mean","02_curriculum_stage_2_easy_overtake_training.csv","12","49344","25.61875","17.123529","-0.000401","43.66"
"deep_sets_mean","03_curriculum_stage_3_mixed_traffic_training.csv","1","4098","27.139073","17.958275","-0.000344","47.36"
"deep_sets_mean","03_curriculum_stage_3_mixed_traffic_training.csv","2","8197","27.695946","18.683011","-0.000426","46.68"
"deep_sets_mean","03_curriculum_stage_3_mixed_traffic_training.csv","3","12307","27.583893","18.474806","-0.000423","46.55"
"deep_sets_mean","03_curriculum_stage_3_mixed_traffic_training.csv","4","16429","28.427586","19.396162","-0.000492","47.03"
"deep_sets_mean","03_curriculum_stage_3_mixed_traffic_training.csv","5","20530","30.377778","20.879842","-0.000475","47.97"
"deep_sets_mean","03_curriculum_stage_3_mixed_traffic_training.csv","6","24633","31.561538","21.755474","-9.9e-05","47.28"
"deep_sets_mean","03_curriculum_stage_3_mixed_traffic_training.csv","7","28760","30.798507","20.820643","-0.000367","47.43"
"deep_sets_mean","03_curriculum_stage_3_mixed_traffic_training.csv","8","32862","29.3","20.091154","-0.000415","46.74"
"deep_sets_mean","03_curriculum_stage_3_mixed_traffic_training.csv","9","36977","33.455285","23.750685","-0.000272","46.7"
"deep_sets_mean","03_curriculum_stage_3_mixed_traffic_training.csv","10","41156","34.825","24.382485","-0.000293","47.71"
"deep_sets_mean","03_curriculum_stage_3_mixed_traffic_training.csv","11","45278","30.761194","20.925249","-0.00065","46.41"
"deep_sets_mean","03_curriculum_stage_3_mixed_traffic_training.csv","12","49398","35.213675","25.200639","-9.5e-05","45.62"
"deep_sets_mean","03_curriculum_stage_3_mixed_traffic_training.csv","13","53525","32.496063","22.912078","-0.000347","45.24"
"deep_sets_mean","03_curriculum_stage_3_mixed_traffic_training.csv","14","57628","35.37069","24.862476","-0.000424","44.8"
"deep_sets_mean","03_curriculum_stage_3_mixed_traffic_training.csv","15","61731","33.357724","23.254767","-0.000381","44.75"
"deep_sets_mean","03_curriculum_stage_3_mixed_traffic_training.csv","16","65834","33.909091","23.858287","-0.0003","44.88"
"deep_sets_mean","03_curriculum_stage_3_mixed_traffic_training.csv","17","69951","34.024793","24.089671","-0.000269","45.47"
"deep_sets_mean","03_curriculum_stage_3_mixed_traffic_training.csv","18","74058","35.713043","25.114664","-0.0003","45.02"
"deep_sets_mean","03_curriculum_stage_3_mixed_traffic_training.csv","19","78183","33.536585","23.945735","-0.000305","47.69"
"deep_sets_mean","03_curriculum_stage_3_mixed_traffic_training.csv","20","82309","39.295238","28.611514","-0.000496","45.16"
"deep_sets_mean","03_curriculum_stage_3_mixed_traffic_training.csv","21","86431","39.634615","28.610595","-0.000589","45.32"
"deep_sets_mean","03_curriculum_stage_3_mixed_traffic_training.csv","22","90542","36.061404","25.508306","-0.000333","45.29"
"deep_sets_mean","03_curriculum_stage_3_mixed_traffic_training.csv","23","94640","36.918919","26.317318","-0.000312","45.08"
"deep_sets_mean","03_curriculum_stage_3_mixed_traffic_training.csv","24","98742","38.698113","27.207909","-0.000414","45.05"
"deep_sets_mean","04_curriculum_stage_4_dense_traffic_training.csv","1","4096","35.008547","22.327258","-0.000226","53.23"
"deep_sets_mean","04_curriculum_stage_4_dense_traffic_training.csv","2","8202","35.396552","22.327092","-0.000203","53.0"
"deep_sets_mean","04_curriculum_stage_4_dense_traffic_training.csv","3","12366","32.53125","20.255077","-0.000334","53.72"
"deep_sets_mean","04_curriculum_stage_4_dense_traffic_training.csv","4","16479","36.078947","21.936372","-0.000315","53.5"
"deep_sets_mean","04_curriculum_stage_4_dense_traffic_training.csv","5","20603","36.821429","24.088627","-3.5e-05","53.68"
"deep_sets_mean","04_curriculum_stage_4_dense_traffic_training.csv","6","24766","36.2","23.192259","-0.000252","53.59"
"deep_sets_mean","04_curriculum_stage_4_dense_traffic_training.csv","7","28897","34.425","21.970307","-0.000557","53.41"
"deep_sets_mean","04_curriculum_stage_4_dense_traffic_training.csv","8","33001","33.639344","20.942723","-0.000803","53.95"
"deep_sets_mean","04_curriculum_stage_4_dense_traffic_training.csv","9","37198","32.789062","20.360696","-0.000192","54.59"
"deep_sets_mean","04_curriculum_stage_4_dense_traffic_training.csv","10","41324","36.192982","22.818392","-0.000177","53.59"
"deep_sets_mean","04_curriculum_stage_4_dense_traffic_training.csv","11","45456","40.509804","27.116864","-0.000379","53.14"
"deep_sets_mean","04_curriculum_stage_4_dense_traffic_training.csv","12","49623","43.863158","29.364328","-0.000278","54.07"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_1_open_lane_training.csv","1","4117","18.713636","12.638803","-0.005938","41.26"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_1_open_lane_training.csv","2","8227","22.216216","15.377017","-0.005158","41.69"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_1_open_lane_training.csv","3","12330","25.32716","18.018847","-0.003792","40.69"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_1_open_lane_training.csv","4","16426","28.444444","20.521049","-0.002111","39.99"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_1_open_lane_training.csv","5","20533","30.649254","22.431274","-0.000966","39.54"
