"model","source_file","iteration","timesteps_so_far","avg_episodic_length","avg_episodic_return","avg_loss","iteration_seconds"
"basic_mlp","basic_mlp_01_curriculum_stage_1_open_lane_training.csv","6","24650","27.938776","20.024087","-0.00075","34.98"
"basic_mlp","basic_mlp_02_curriculum_stage_2_easy_overtake_training.csv","12","49526","29.732394","20.539703","-0.000686","38.99"
"basic_mlp","basic_mlp_03_curriculum_stage_3_mixed_traffic_training.csv","24","99263","80.647059","62.559903","-0.000143","42.72"
"basic_mlp","basic_mlp_04_curriculum_stage_4_dense_traffic_training.csv","12","50490","98.738095","73.954842","-0.000139","51.49"
"deep_sets_mean","01_curriculum_stage_1_open_lane_training.csv","6","24626","21.808511","15.400262","-0.003514","40.42"
"deep_sets_mean","02_curriculum_stage_2_easy_overtake_training.csv","12","49344","25.61875","17.123529","-0.000401","43.66"
"deep_sets_mean","03_curriculum_stage_3_mixed_traffic_training.csv","24","98742","38.698113","27.207909","-0.000414","45.05"
"deep_sets_mean","04_curriculum_stage_4_dense_traffic_training.csv","12","49623","43.863158","29.364328","-0.000278","54.07"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_1_open_lane_training.csv","6","24651","30.731343","22.771341","-0.000182","40.19"
"deep_sets_mean_max","deep_sets_mean_max_02_curriculum_stage_2_easy_overtake_training.csv","12","49335","35.73913","25.699459","-0.000338","43.37"
"deep_sets_mean_max","deep_sets_mean_max_03_curriculum_stage_3_mixed_traffic_training.csv","24","99187","65.15873","47.963136","-0.000237","45.54"
"deep_sets_mean_max","deep_sets_mean_max_04_curriculum_stage_4_dense_traffic_training.csv","12","49929","58.916667","42.894556","-0.000405","57.35"
"self_attention","01_curriculum_stage_1_open_lane_training.csv","6","24596","18.376682","12.344203","-0.002298","42.1"
"self_attention","02_curriculum_stage_2_easy_overtake_training.csv","12","49322","27.172185","18.460491","-0.000698","45.59"
"self_attention","03_curriculum_stage_3_mixed_traffic_training.csv","24","98906","52.948718","39.288591","-0.000461","53.22"
"self_attention","04_curriculum_stage_4_dense_traffic_training.csv","12","49906","64.484375","47.148988","-0.000655","64.09"
