model,config,eval_type,episodes,max_steps,avg_episodic_length,avg_episodic_return,collision_rate,checkpoint
deep_sets_mean,curriculum_stage_1_open_lane,capped,10,300,208.9,169.542475,0.4,C:\Users\milke\groupCoursework\FYP\Deep_sets_mean_model\curriculum_artifacts\fair_curriculum_codex_run\checkpoints\deep_sets_mean_curriculum_final_actor.pth
deep_sets_mean,curriculum_stage_1_open_lane,full,10,,411.8,344.466309,0.1,C:\Users\milke\groupCoursework\FYP\Deep_sets_mean_model\curriculum_artifacts\fair_curriculum_codex_run\checkpoints\deep_sets_mean_curriculum_final_actor.pth
deep_sets_mean,curriculum_stage_2_easy_overtake,capped,10,300,167.4,138.378538,0.5,C:\Users\milke\groupCoursework\FYP\Deep_sets_mean_model\curriculum_artifacts\fair_curriculum_codex_run\checkpoints\deep_sets_mean_curriculum_final_actor.pth
deep_sets_mean,curriculum_stage_2_easy_overtake,full,10,,168.3,137.042677,0.8,C:\Users\milke\groupCoursework\FYP\Deep_sets_mean_model\curriculum_artifacts\fair_curriculum_codex_run\checkpoints\deep_sets_mean_curriculum_final_actor.pth
deep_sets_mean,curriculum_stage_3_mixed_traffic,capped,10,300,166.2,133.924081,0.6,C:\Users\milke\groupCoursework\FYP\Deep_sets_mean_model\curriculum_artifacts\fair_curriculum_codex_run\checkpoints\deep_sets_mean_curriculum_final_actor.pth
deep_sets_mean,curriculum_stage_3_mixed_traffic,full,10,,292.2,237.38235,0.7,C:\Users\milke\groupCoursework\FYP\Deep_sets_mean_model\curriculum_artifacts\fair_curriculum_codex_run\checkpoints\deep_sets_mean_curriculum_final_actor.pth
deep_sets_mean,curriculum_stage_4_dense_traffic,capped,10,300,140.2,110.417412,0.6,C:\Users\milke\groupCoursework\FYP\Deep_sets_mean_model\curriculum_artifacts\fair_curriculum_codex_run\checkpoints\deep_sets_mean_curriculum_final_actor.pth
deep_sets_mean,curriculum_stage_4_dense_traffic,full,10,,196.2,152.539829,0.9,C:\Users\milke\groupCoursework\FYP\Deep_sets_mean_model\curriculum_artifacts\fair_curriculum_codex_run\checkpoints\deep_sets_mean_curriculum_final_actor.pth
deep_sets_mean_max,curriculum_stage_1_open_lane,capped,10,300,180.8,145.966488,0.5,C:\Users\milke\groupCoursework\FYP\baseline\curriculum_artifacts\fair_curriculum_codex_run\checkpoints\deep_sets_mean_max_curriculum_final_actor.pth
deep_sets_mean_max,curriculum_stage_1_open_lane,full,10,,231.7,188.039545,0.6,C:\Users\milke\groupCoursework\FYP\baseline\curriculum_artifacts\fair_curriculum_codex_run\checkpoints\deep_sets_mean_max_curriculum_final_actor.pth
deep_sets_mean_max,curriculum_stage_2_easy_overtake,capped,10,300,220.4,180.740748,0.3,C:\Users\milke\groupCoursework\FYP\baseline\curriculum_artifacts\fair_curriculum_codex_run\checkpoints\deep_sets_mean_max_curriculum_final_actor.pth
deep_sets_mean_max,curriculum_stage_2_easy_overtake,full,10,,330.3,268.975073,0.4,C:\Users\milke\groupCoursework\FYP\baseline\curriculum_artifacts\fair_curriculum_codex_run\checkpoints\deep_sets_mean_max_curriculum_final_actor.pth
deep_sets_mean_max,curriculum_stage_3_mixed_traffic,capped,10,300,192.1,154.099122,0.5,C:\Users\milke\groupCoursework\FYP\baseline\curriculum_artifacts\fair_curriculum_codex_run\checkpoints\deep_sets_mean_max_curriculum_final_actor.pth
deep_sets_mean_max,curriculum_stage_3_mixed_traffic,full,10,,353.3,290.304725,0.5,C:\Users\milke\groupCoursework\FYP\baseline\curriculum_artifacts\fair_curriculum_codex_run\checkpoints\deep_sets_mean_max_curriculum_final_actor.pth
deep_sets_mean_max,curriculum_stage_4_dense_traffic,capped,10,300,207.1,163.445314,0.4,C:\Users\milke\groupCoursework\FYP\baseline\curriculum_artifacts\fair_curriculum_codex_run\checkpoints\deep_sets_mean_max_curriculum_final_actor.pth
deep_sets_mean_max,curriculum_stage_4_dense_traffic,full,10,,137.2,103.796756,0.9,C:\Users\milke\groupCoursework\FYP\baseline\curriculum_artifacts\fair_curriculum_codex_run\checkpoints\deep_sets_mean_max_curriculum_final_actor.pth
self_attention,curriculum_stage_1_open_lane,capped,10,300,212.4,171.86658,0.5,C:\Users\milke\groupCoursework\FYP\self_attention_model\curriculum_artifacts\fair_curriculum_codex_run\checkpoints\self_attention_curriculum_final_actor.pth
self_attention,curriculum_stage_1_open_lane,full,10,,243.7,196.861203,0.7,C:\Users\milke\groupCoursework\FYP\self_attention_model\curriculum_artifacts\fair_curriculum_codex_run\checkpoints\self_attention_curriculum_final_actor.pth
self_attention,curriculum_stage_2_easy_overtake,capped,10,300,114.7,88.156619,0.7,C:\Users\milke\groupCoursework\FYP\self_attention_model\curriculum_artifacts\fair_curriculum_codex_run\checkpoints\self_attention_curriculum_final_actor.pth
self_attention,curriculum_stage_2_easy_overtake,full,10,,270.6,221.060822,0.6,C:\Users\milke\groupCoursework\FYP\self_attention_model\curriculum_artifacts\fair_curriculum_codex_run\checkpoints\self_attention_curriculum_final_actor.pth
self_attention,curriculum_stage_3_mixed_traffic,capped,10,300,116.9,89.374896,0.8,C:\Users\milke\groupCoursework\FYP\self_attention_model\curriculum_artifacts\fair_curriculum_codex_run\checkpoints\self_attention_curriculum_final_actor.pth
self_attention,curriculum_stage_3_mixed_traffic,full,10,,189.0,147.270245,0.9,C:\Users\milke\groupCoursework\FYP\self_attention_model\curriculum_artifacts\fair_curriculum_codex_run\checkpoints\self_attention_curriculum_final_actor.pth
self_attention,curriculum_stage_4_dense_traffic,capped,10,300,189.6,147.417327,0.6,C:\Users\milke\groupCoursework\FYP\self_attention_model\curriculum_artifacts\fair_curriculum_codex_run\checkpoints\self_attention_curriculum_final_actor.pth
self_attention,curriculum_stage_4_dense_traffic,full,10,,186.9,142.785229,1.0,C:\Users\milke\groupCoursework\FYP\self_attention_model\curriculum_artifacts\fair_curriculum_codex_run\checkpoints\self_attention_curriculum_final_actor.pth
