model,env_id,train_seed,episode_index,eval_seed,start_lane,episodic_return,episodic_length,collided,capped,terminated,truncated,eval_action_mode,safeguard_threshold,mc_samples,avg_uncertainty,max_uncertainty,activation_count,activation_rate
mlp_baseline,highway-v0,34567,1,1000,0,500.993150378461,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,2,1001,2,500.883081472601,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,3,1002,1,501.33339572694155,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,4,1003,0,500.9943300310998,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,5,1004,2,500.9816678071377,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,6,1005,1,501.16132079749025,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,7,1006,1,501.3166677929358,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,8,1007,0,116.7407014158825,140,1,0,1,0,actor,,,,,,
mlp_baseline,highway-v0,34567,9,1008,1,501.1805105891048,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,10,1009,2,500.9415561040858,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,11,1010,2,500.88217785993965,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,12,1011,0,500.8824441914448,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,13,1012,2,500.9723175861596,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,14,1013,0,501.0980443330919,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,15,1014,1,501.20713300842743,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,16,1015,1,501.31124388304306,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,17,1016,1,501.1691094079363,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,18,1017,2,501.0897241474177,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,19,1018,2,500.9978622841328,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,20,1019,1,501.2317241102879,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,21,1020,2,38.41453367167325,46,1,0,1,0,actor,,,,,,
mlp_baseline,highway-v0,34567,22,1021,0,501.04475194492625,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,23,1022,2,501.0288982076169,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,24,1023,0,385.2257088599895,462,1,0,1,0,actor,,,,,,
mlp_baseline,highway-v0,34567,25,1024,1,501.1442926363505,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,26,1025,2,501.1687669118278,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,27,1026,1,501.1720758561099,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,28,1027,1,501.2046038102187,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,29,1028,1,501.372293615408,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,30,1029,1,67.22220376051567,80,1,0,1,0,actor,,,,,,
mlp_baseline,highway-v0,34567,31,1030,1,501.21973171463,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,32,1031,2,501.0864347639974,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,33,1032,1,501.3568164558653,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,34,1033,1,501.5356410862308,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,35,1034,1,501.29413374303425,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,36,1035,0,501.08622398258325,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,37,1036,1,501.14634551820507,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,38,1037,1,501.21879001746476,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,39,1038,1,501.2329192029359,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,40,1039,1,501.39939227286885,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,41,1040,0,501.11954520287077,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,42,1041,2,500.9128628128949,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,43,1042,2,501.08502153255034,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,44,1043,2,500.80219224719013,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,45,1044,0,501.03339960626124,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,46,1045,2,500.87535224000595,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,47,1046,0,501.16352506538124,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,48,1047,0,501.0877931321895,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,49,1048,2,500.91917281326755,600,0,0,0,1,actor,,,,,,
mlp_baseline,highway-v0,34567,50,1049,2,500.9308105920347,600,0,0,0,1,actor,,,,,,
