iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4106,24.440476,18.566642,-0.001888,109.93
2,8202,29.049645,22.729225,-0.001091,109.19
3,12299,28.852113,22.457185,-0.00115,116.78
4,16396,27.870748,21.586501,-0.000857,122.31
5,20527,31.295455,24.752224,-0.001068,112.81
6,24643,31.661538,25.057773,-0.000876,111.62
7,28751,34.813559,27.722142,-0.001335,114.85
8,32876,35.25641,28.179438,-0.000731,123.98
9,37020,35.118644,28.049631,-0.000757,121.95
10,41144,35.247863,28.112471,-0.001218,122.47
11,45269,38.915094,31.491708,-0.000963,121.8
12,49402,43.505263,35.37661,-0.000877,122.05
13,53527,41.25,33.266668,-0.001062,121.49
14,57629,44.107527,35.837467,-0.000924,119.65
15,61827,46.644444,38.0258,-0.001291,123.45
16,65943,49.590361,40.614271,-0.001072,126.1
17,70107,43.375,34.90878,-0.000616,124.33
18,74214,57.041667,46.821516,-0.000715,117.61
19,78342,55.04,45.171475,-0.000756,117.22
20,82480,60.852941,50.041134,-0.001077,118.74
21,86594,63.292308,52.203721,-0.00132,120.03
22,90703,85.604167,71.116623,-0.000214,117.23
23,94799,89.043478,73.679499,-0.000717,116.84
24,98899,89.130435,73.437453,-0.000567,117.8
25,102998,80.372549,66.075242,-0.000673,118.94
26,107136,129.3125,106.954844,-0.001156,118.53
27,111427,115.972973,96.041712,-0.00033,121.74
28,115539,93.454545,76.760039,-0.001141,119.37
29,119660,124.878788,103.680245,-0.000993,118.05
30,123812,115.333333,95.616984,-0.00039,120.17
31,128148,180.666667,150.548088,-0.000447,127.11
32,132436,153.142857,127.341963,-0.000766,124.09
33,136811,208.333333,173.93584,-2.5e-05,128.28
34,141112,187.0,156.202618,-0.000617,126.07
35,145486,230.210526,192.296124,-4.8e-05,127.23
36,149616,179.565217,149.869829,-0.000298,120.2
37,153856,192.727273,160.463254,-0.000253,121.68
38,158011,180.652174,150.463737,-0.001085,120.96
39,162373,189.652174,157.786502,-0.001144,124.61
40,166744,161.888889,134.546084,9e-05,127.55
41,170895,230.611111,192.297057,-0.000121,119.36
42,175206,239.5,199.612259,-0.00037,120.95
43,179326,242.352941,202.017412,-2.8e-05,119.63
44,183662,255.058824,212.493771,-9.8e-05,125.51
45,187968,215.3,179.356821,-0.000225,124.27
46,192186,222.0,185.362616,-0.000563,128.71
47,196312,217.157895,180.835257,-0.00083,117.69
48,200650,271.125,226.515416,-0.000253,123.19
