iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4106,24.440476,18.566642,-0.001888,143.18
2,8202,29.049645,22.729225,-0.001091,145.5
3,12299,28.852113,22.457185,-0.00115,145.35
4,16396,27.870748,21.586501,-0.000857,142.49
5,20527,31.295455,24.752224,-0.001068,138.27
6,24643,31.661538,25.057773,-0.000876,137.04
7,28751,34.813559,27.722142,-0.001335,136.5
8,32876,35.25641,28.179438,-0.000731,138.25
9,37020,35.118644,28.049631,-0.000757,136.55
10,41144,35.247863,28.112471,-0.001218,136.35
11,45269,38.915094,31.491708,-0.000963,138.49
12,49402,43.505263,35.37661,-0.000877,145.57
13,53527,41.25,33.266668,-0.001062,146.18
14,57629,44.107527,35.837467,-0.000924,136.67
15,61827,46.644444,38.0258,-0.001291,135.62
16,65943,49.590361,40.614271,-0.001072,132.83
17,70107,43.375,34.90878,-0.000616,139.72
18,74214,57.041667,46.821516,-0.000715,142.42
19,78342,55.04,45.171475,-0.000756,140.87
20,82480,60.852941,50.041134,-0.001077,134.95
21,86594,63.292308,52.203721,-0.00132,135.41
22,90703,85.604167,71.116623,-0.000214,140.95
23,94799,89.043478,73.679499,-0.000717,138.96
24,98899,89.130435,73.437453,-0.000567,142.55
25,102998,80.372549,66.075242,-0.000673,144.47
26,107136,129.3125,106.954844,-0.001156,143.74
27,111427,115.972973,96.041712,-0.00033,148.94
28,115539,93.454545,76.760039,-0.001141,140.78
29,119660,124.878788,103.680245,-0.000993,140.61
30,123812,115.333333,95.616984,-0.00039,141.5
31,128148,180.666667,150.548088,-0.000447,129.94
