iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4104,15.84556,10.835566,-0.00578,149.15
2,8219,18.452915,13.111344,-0.006163,141.0
3,12329,20.55,14.983599,-0.00574,129.57
4,16429,25.308642,19.107544,-0.004285,128.82
5,20531,27.346667,20.865605,-0.003054,130.87
6,24646,36.096491,28.629354,-0.001453,148.58
7,28751,35.387931,28.09928,-9.6e-05,139.28
8,32877,30.116788,23.407315,-0.000449,138.66
9,36979,34.762712,27.373052,-0.000595,135.9
10,41110,33.314516,26.107262,-0.001088,132.88
11,45210,37.614679,29.838324,-0.00088,135.19
12,49312,41.857143,33.424812,-0.000958,134.43
13,53409,37.587156,29.717089,-0.000974,131.88
14,57532,40.029126,31.713352,-0.001051,130.46
15,61630,47.103448,37.535847,-0.000734,125.4
16,65766,54.421053,43.672335,-0.000751,129.42
17,69897,43.946809,34.842594,-0.000648,137.0
18,74110,47.337079,37.586685,-0.001161,138.71
19,78232,58.885714,47.299161,-0.000167,134.0
20,82345,55.581081,44.234759,-0.000296,133.2
