model,run_index,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario
deep_sets_mean_max,1,12345,1,1000,33.07052161099154,59,1,0,1,0,overtake_blocked
deep_sets_mean_max,1,12345,2,1001,14.120735034616631,33,1,0,1,0,overtake_blocked
deep_sets_mean_max,1,12345,3,1002,35.34007947517049,60,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,4,1003,27.088713155342223,50,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,5,1004,15.933979167913753,36,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,6,1005,34.72202506659242,60,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,7,1006,28.406419224024972,53,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,8,1007,50.453588894855336,79,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,9,1008,28.333050612981022,52,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,10,1009,17.884626539657198,39,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,11,1010,62.96085801999547,92,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,12,1011,25.093796141222196,49,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,13,1012,33.39749318864102,60,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,14,1013,25.398133881470407,47,1,0,1,0,overtake_blocked
deep_sets_mean_max,1,12345,15,1014,55.55618880085399,84,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,16,1015,49.46151668075483,74,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,17,1016,29.733340815938558,54,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,18,1017,250.55417991368182,300,0,1,0,0,stay_best
deep_sets_mean_max,1,12345,19,1018,47.18442300941113,74,1,0,1,0,overtake_blocked
deep_sets_mean_max,1,12345,20,1019,25.159094591610536,48,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,21,1020,17.161384611841896,38,1,0,1,0,overtake_blocked
deep_sets_mean_max,1,12345,22,1021,52.906323076745124,78,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,23,1022,48.642707310440635,78,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,24,1023,44.5951878329801,73,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,25,1024,25.078037003888372,48,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,26,1025,26.724345028293747,51,1,0,1,0,overtake_blocked
deep_sets_mean_max,1,12345,27,1026,26.650911077189836,51,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,28,1027,37.844927322960295,64,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,29,1028,35.01708326900138,60,1,0,1,0,overtake_blocked
deep_sets_mean_max,1,12345,30,1029,25.210056387931555,50,1,0,1,0,overtake_blocked
deep_sets_mean_max,1,12345,31,1030,29.48174050820203,52,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,32,1031,47.037495149534614,76,1,0,1,0,overtake_blocked
deep_sets_mean_max,1,12345,33,1032,251.036314805852,300,0,1,0,0,stay_best
deep_sets_mean_max,1,12345,34,1033,38.536426318555755,67,1,0,1,0,overtake_blocked
deep_sets_mean_max,1,12345,35,1034,249.08815280117764,300,0,1,0,0,stay_best
deep_sets_mean_max,1,12345,36,1035,42.269729263216384,68,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,37,1036,43.96770871883818,72,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,38,1037,36.3229529175586,61,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,39,1038,19.719616209625734,41,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,40,1039,249.75869007359074,300,0,1,0,0,stay_best
deep_sets_mean_max,1,12345,41,1040,32.388103090473294,59,1,0,1,0,overtake_blocked
deep_sets_mean_max,1,12345,42,1041,250.82024425469916,300,0,1,0,0,stay_best
deep_sets_mean_max,1,12345,43,1042,31.267234347800603,55,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,44,1043,20.174218581587848,41,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,45,1044,26.681063086800304,52,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,46,1045,42.640831082423226,68,1,0,1,0,overtake_blocked
deep_sets_mean_max,1,12345,47,1046,43.69339133569486,72,1,0,1,0,overtake_easy
deep_sets_mean_max,1,12345,48,1047,27.94332013121619,52,1,0,1,0,overtake_blocked
deep_sets_mean_max,1,12345,49,1048,34.25645076959233,58,1,0,1,0,overtake_blocked
deep_sets_mean_max,1,12345,50,1049,41.91281219107012,69,1,0,1,0,overtake_easy
