iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4130,22.692308,14.683838,-0.002537,177.39
2,8231,22.409836,14.228338,-0.000539,64.97
3,12337,21.610526,13.900962,-0.000679,62.98
4,16435,21.568421,13.891591,-0.001135,61.49
5,20535,22.905028,15.091504,-0.000707,63.18
6,24654,24.813253,16.512893,-0.001028,66.82
7,28762,24.164706,15.888479,-0.000963,64.13
8,32889,26.455128,17.273611,-0.000417,60.89
9,36993,24.57485,16.245348,-0.000795,60.83
10,41113,25.121951,16.437965,-0.000345,61.35
11,45212,25.779874,17.290703,-0.000465,61.47
12,49315,25.018293,16.292797,-0.000682,62.7
13,53445,26.818182,17.872228,-0.000495,61.7
14,57568,25.450617,16.821413,-0.00053,60.86
15,61694,26.619355,17.901138,-0.000573,62.23
16,65808,26.541935,17.714031,-0.000903,64.17
17,69920,27.597315,18.734414,-0.000552,64.42
18,74021,27.709459,18.383566,-0.000588,64.48
19,78138,31.427481,21.787846,-0.00061,66.16
20,82239,29.934307,20.49774,-0.000699,62.64
21,86363,31.007519,21.076384,-0.00107,62.59
22,90465,30.161765,20.029813,-0.000729,64.24
23,94564,31.290076,21.345358,-0.000686,62.09
24,98703,33.112,22.584342,-0.000811,67.6
25,102801,31.282443,21.260791,-0.00038,56.83
26,106922,33.778689,23.345633,-0.000369,60.52
27,111034,33.430894,23.015117,-0.000821,59.99
28,115151,33.745902,22.88771,-0.000596,59.93
29,119317,35.305085,24.018329,-0.000728,60.09
30,123425,37.345455,25.897503,-0.000764,60.39
31,127550,31.015038,20.291493,-0.00023,59.07
32,131650,39.805825,28.352868,-0.000435,57.09
33,135769,33.487805,22.509283,-0.00027,55.18
34,139892,41.23,28.952036,-0.000439,56.02
35,144057,41.65,29.389717,-0.000161,54.92
36,148165,40.673267,28.075518,-0.000334,54.79
37,152287,46.840909,33.610977,-0.0,55.18
38,156393,38.735849,27.205915,-0.000401,54.54
39,160536,48.174419,34.82464,2e-05,55.52
40,164639,40.22549,28.383004,-0.0004,54.84
41,168808,41.277228,29.276504,-0.000674,55.1
42,172911,42.298969,29.70762,-0.00014,54.87
43,177044,41.747475,29.800704,-0.000164,56.9
44,181194,44.148936,31.459351,-0.00044,56.62
45,185309,42.864583,30.394585,-0.000674,57.22
46,189426,40.362745,28.11013,-0.000983,55.92
47,193547,47.918605,34.094077,1.6e-05,56.65
48,197657,48.928571,35.125889,-6.5e-05,58.08
49,201760,45.087912,31.932041,-0.000262,56.42
50,205883,43.4,31.481816,-0.000584,56.4
51,209987,43.2,29.868574,-0.001184,56.45
52,214106,45.263736,31.710876,-9.8e-05,56.38
53,218219,48.388235,34.403195,5e-05,55.51
54,222320,51.2625,37.3223,-9.5e-05,58.56
55,226458,55.173333,39.432623,-0.000461,56.21
56,230567,57.069444,42.363745,-0.000446,54.85
57,234683,56.383562,40.83497,-6.4e-05,55.6
58,238797,63.292308,47.689813,-0.000286,54.83
59,242893,58.514286,42.078584,-0.000135,55.65
60,247031,59.114286,42.979887,-0.00028,55.95
61,251136,60.367647,44.077391,-3e-06,55.24
62,255265,57.347222,41.141347,-2.9e-05,55.51
63,259374,54.065789,39.451125,-0.000221,54.49
64,263508,55.12,40.22623,-0.000348,55.02
65,267642,59.913043,44.165262,-0.000271,57.21
66,271766,57.277778,41.011619,-0.000593,55.73
67,276069,62.362319,45.508802,-1e-05,59.68
68,280178,59.550725,43.215816,-0.000722,56.23
69,284278,54.666667,39.387684,-0.000561,57.68
70,288513,67.222222,49.144106,0.000134,59.15
71,292630,57.985915,40.818996,-0.000104,56.2
72,296774,62.787879,45.378131,-0.000578,56.56
73,300959,55.8,38.776544,-0.000663,59.67
