"model","train_seed","episode_index","eval_seed","episodic_return","episodic_length","collided","capped","terminated","truncated","scenario","run_index","run_id"
"deep_sets_mean_max","12345","1","1000","41.91799034879135","52","1","0","1","0","overtake_easy","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","2","1001","44.928380947364204","55","1","0","1","0","overtake_easy","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","3","1002","37.03723320329264","61","1","0","1","0","overtake_easy","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","4","1003","434.3482211187555","525","0","0","0","1","overtake_easy","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","5","1004","40.89058360828972","50","1","0","1","0","overtake_easy","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","6","1005","439.49405217638264","525","0","0","0","1","stay_best","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","7","1006","23.487746134682595","43","1","0","1","0","overtake_easy","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","8","1007","46.7535047924472","57","1","0","1","0","overtake_blocked","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","9","1008","28.84642327106238","50","1","0","1","0","overtake_blocked","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","10","1009","45.23310475031179","56","1","0","1","0","overtake_easy","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","11","1010","436.246631857039","525","0","0","0","1","overtake_easy","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","12","1011","39.136721912603015","48","1","0","1","0","overtake_easy","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","13","1012","51.26749347770231","66","1","0","1","0","overtake_easy","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","14","1013","437.5943471818528","525","0","0","0","1","overtake_easy","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","15","1014","77.98256359740164","108","1","0","1","0","overtake_easy","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","16","1015","29.88265736521621","52","1","0","1","0","overtake_easy","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","17","1016","32.207942200781886","54","1","0","1","0","overtake_easy","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","18","1017","53.83332210567483","71","1","0","1","0","overtake_blocked","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","19","1018","104.34564520999312","129","1","0","1","0","overtake_easy","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","20","1019","43.31408708736666","67","1","0","1","0","overtake_easy","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","21","1020","244.269428895246","307","1","0","1","0","overtake_easy","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","22","1021","52.048249163079525","63","1","0","1","0","overtake_easy","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
"deep_sets_mean_max","12345","23","1022","438.5171805607141","525","0","0","0","1","stay_best","1","meanmax_continuous_stage2_lite_100k_seed12345_20260507_101611"
