iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4096,25.6,17.36105,-0.002109,69.74
2,8204,23.340909,15.3593,-0.000471,5972.82
3,12312,22.949721,15.275585,-0.00103,78.09
4,16452,23.0,15.294362,-0.001069,76.67
5,20562,24.610778,16.359257,-0.001263,62.7
6,24712,26.265823,17.737388,-0.000719,66.52
7,28856,28.979021,20.080172,-0.00077,64.7
8,32971,29.818841,21.244764,-0.000599,63.81
9,37072,29.503597,20.375948,-0.000998,63.62
10,41184,33.704918,24.114815,-0.000692,65.74
11,45291,30.422222,21.394759,-0.001032,67.56
12,49422,31.06015,21.320169,-0.001335,67.01
13,53529,33.390244,23.794645,-0.000374,69.96
14,57639,34.25,24.304592,-0.000574,80.9
15,61750,34.258333,24.62593,-0.000681,93.22
16,65850,34.453782,24.404013,-0.001046,90.28
17,69973,40.821782,29.726823,-0.000765,86.91
18,74125,37.405405,27.436224,-0.000569,87.21
19,78247,40.811881,29.666671,-0.001146,83.95
20,82414,47.352273,34.636062,-0.000516,87.0
21,86523,43.712766,32.287696,-0.000353,83.15
22,90901,47.586957,35.277236,-0.000546,77.16
23,95006,46.123596,34.298392,-0.000339,81.69
24,99143,44.483871,32.90702,-0.000359,71.2
25,103275,44.430108,32.385128,-0.000295,72.37
