model,env_id,train_seed,episode_index,eval_seed,start_lane,episodic_return,episodic_length,collided,capped,terminated,truncated
deep_sets_mean_max,highway-v0,12345,1,1000,0,437.82922053076015,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,2,1001,2,437.6783477012058,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,3,1002,1,437.97966278081014,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,4,1003,0,437.85904472950466,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,5,1004,2,437.7299605168429,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,6,1005,1,437.9914283510877,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,7,1006,1,437.97143275334525,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,8,1007,0,437.7902888468074,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,9,1008,1,437.99235739903673,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,10,1009,2,437.6780810262341,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,11,1010,2,437.6708899169241,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,12,1011,0,437.77928462564023,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,13,1012,2,437.72484091401594,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,14,1013,0,437.8709079742522,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,15,1014,1,438.019091358165,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,16,1015,1,437.99059229500324,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,17,1016,1,437.97229844836266,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,18,1017,2,437.72547247348615,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,19,1018,2,437.7547135294225,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,20,1019,1,437.9842625731358,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,21,1020,2,437.68644124371025,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,22,1021,0,437.86929043208926,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,23,1022,2,437.7898798022132,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,24,1023,0,437.8471365062858,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,25,1024,1,437.9666495364869,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,26,1025,2,437.7287211452521,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,27,1026,1,437.9828374075048,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,28,1027,1,437.984036988889,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,29,1028,1,437.98881832580986,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,30,1029,1,438.0095130162382,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,31,1030,1,437.9689711200021,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,32,1031,2,437.70309442894404,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,33,1032,1,438.0156717435973,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,34,1033,1,438.01586230604966,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,35,1034,1,437.9820353203332,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,36,1035,0,437.8633212710434,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,37,1036,1,437.98993541144233,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,38,1037,1,437.99406577029305,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,39,1038,1,437.9498877721978,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,40,1039,1,438.00814223341513,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,41,1040,0,437.7936719019996,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,42,1041,2,437.7216381603677,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,43,1042,2,437.78042585160335,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,44,1043,2,437.6860998632011,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,45,1044,0,437.8453401157817,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,46,1045,2,437.6891644659817,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,47,1046,0,437.89943017539116,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,48,1047,0,437.84003542163754,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,49,1048,2,437.688256104444,525,0,0,0,1
deep_sets_mean_max,highway-v0,12345,50,1049,2,437.69136331552437,525,0,0,0,1
