iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4104,24.872727,18.970645,-0.001867,80.63
2,8203,22.277174,16.67314,-0.001105,66.54
3,12300,25.767296,19.692939,-0.001173,72.11
4,16396,25.440994,19.489791,-0.000757,73.75
5,20522,24.706587,18.811153,-0.001327,68.73
6,24625,25.64375,19.614853,-0.000947,75.67
7,28734,27.763514,21.642878,-0.001126,71.9
8,32847,26.882353,20.671607,-0.000769,61.16
9,37007,29.503546,22.993102,-0.001112,62.78
10,41113,30.414815,23.824918,-0.001513,68.31
11,45224,31.381679,24.590979,-0.000433,65.85
12,49330,35.094017,27.798471,-0.001111,69.33
13,53455,37.844037,30.070088,-0.001172,62.17
14,57559,31.813953,24.718978,-0.000518,58.71
15,61692,43.505263,34.635627,-0.001141,59.0
16,65809,40.762376,32.389197,-0.001442,64.12
17,69914,44.619565,35.376922,-0.000613,57.93
18,74022,43.702128,34.648621,-0.000297,66.72
19,78139,45.241758,35.784235,-0.001505,65.8
20,82286,48.22093,38.194258,-7.2e-05,67.12
21,86470,51.02439,40.413258,-0.000551,69.09
22,90573,49.433735,39.041034,-0.001593,61.66
23,94674,51.2625,40.729627,-0.000194,59.4
24,98780,53.324675,42.30173,-0.00088,61.92
25,102907,61.597015,49.14112,-0.00094,53.53
26,107127,74.035088,59.563682,-0.000664,54.16
27,111224,58.528571,46.51115,-0.00021,54.19
28,115377,68.081967,54.437724,-0.000376,55.67
29,119578,67.758065,54.186279,-0.000901,53.89
30,123685,64.171875,51.274289,-0.000744,52.28
31,127816,68.85,55.164997,-0.000124,52.38
32,132015,80.75,65.150818,-0.000164,53.31
33,136122,91.266667,73.81987,-0.000471,52.6
34,140347,100.595238,81.910804,-0.000169,55.0
35,144454,111.0,90.443639,-0.000984,51.44
36,148566,85.666667,69.221615,-0.000422,51.57
37,152676,87.446809,70.765239,-0.000229,51.69
38,157064,104.47619,84.96544,-0.000244,55.89
39,161170,105.282051,85.629395,-0.00161,53.03
40,165399,103.146341,83.995482,9.8e-05,54.0
41,169780,89.408163,72.398396,-0.000869,57.54
42,174024,108.820513,88.437029,-0.001685,52.93
43,178233,100.214286,81.288702,-0.001652,52.81
44,182365,114.777778,93.612927,-0.001388,56.71
45,186516,112.189189,91.379306,0.000272,55.96
46,190685,143.758621,117.878113,-0.000416,52.79
47,194796,146.821429,120.498019,-0.001463,51.46
48,199003,168.28,138.866645,-0.00202,53.11
49,203171,181.217391,149.628951,-0.000385,99.34
50,207322,159.653846,131.55074,0.000296,184.02
51,211500,130.5625,106.703246,-0.00107,183.11
52,215651,159.653846,131.388866,-0.001017,179.72
53,219786,159.038462,131.137736,-0.000198,183.59
54,224063,185.956522,153.838712,3e-06,184.8
55,228376,215.65,178.815181,-0.000576,189.17
56,232714,180.75,149.737235,-0.000335,184.51
57,237026,215.6,179.134885,9.9e-05,187.28
58,241395,218.45,181.058066,-0.000416,189.1
59,245749,189.304348,156.591439,-0.000513,191.39
60,249917,231.555556,192.604487,-3.7e-05,176.92
61,254205,194.909091,161.101957,-8e-06,72.87
62,258517,205.333333,169.540255,-0.000751,61.22
63,262641,196.380952,162.247799,-0.000761,53.11
64,266754,178.826087,147.91009,-0.000826,55.06
65,271058,239.111111,198.405978,-0.000414,56.47
66,275382,196.545455,162.969807,8.8e-05,69.84
67,279603,248.294118,206.137008,-0.000364,60.34
68,283717,164.56,136.035386,-0.000142,59.97
69,288108,219.55,182.481642,-6e-05,66.03
70,292250,230.111111,191.023467,-0.000458,65.98
71,296375,257.8125,214.522658,4.6e-05,59.03
72,300677,226.421053,187.917059,-0.000301,60.22
