model,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario
deep_sets_mean_max,12345,1,1000,17.153102816399812,32,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,2,1001,10.654594915377134,22,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,3,1002,15.970565207355323,31,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,4,1003,14.163419236706304,28,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,5,1004,11.357102904619016,23,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,6,1005,19.392951449733175,35,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,7,1006,16.460261624330055,31,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,8,1007,21.723922402070883,40,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,9,1008,20.67738489283301,34,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,10,1009,12.687664647658424,25,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,11,1010,20.78195413279004,37,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,12,1011,15.808402757358918,30,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,13,1012,18.844504711280994,35,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,14,1013,13.280744472212467,27,1,0,1,0,overtake_blocked
deep_sets_mean_max,12345,15,1014,25.52600884929851,41,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,16,1015,17.74510344472248,33,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,17,1016,15.581434145385296,30,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,18,1017,435.98969391932167,525,0,0,0,1,stay_best
deep_sets_mean_max,12345,19,1018,18.28110818512689,35,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,20,1019,15.034930186436862,29,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,21,1020,12.629168713477673,25,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,22,1021,14.426108460244375,29,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,23,1022,25.001528215073993,42,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,24,1023,21.99569315481199,40,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,25,1024,17.736119283979942,27,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,26,1025,16.43081900453445,31,1,0,1,0,overtake_blocked
deep_sets_mean_max,12345,27,1026,15.91546443937098,30,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,28,1027,19.709429626754787,34,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,29,1028,16.010829356535222,31,1,0,1,0,overtake_blocked
deep_sets_mean_max,12345,30,1029,17.493436980361352,32,1,0,1,0,overtake_blocked
deep_sets_mean_max,12345,31,1030,13.201229272266193,27,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,32,1031,22.09639454926305,40,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,33,1032,439.08123652054593,525,0,0,0,1,stay_best
deep_sets_mean_max,12345,34,1033,21.930963461242165,40,1,0,1,0,overtake_blocked
deep_sets_mean_max,12345,35,1034,438.5423781738762,525,0,0,0,1,stay_best
deep_sets_mean_max,12345,36,1035,17.571837275124512,34,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,37,1036,20.52838399230612,38,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,38,1037,17.195614463307667,30,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,39,1038,12.261345718131734,25,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,40,1039,439.039866319541,525,0,0,0,1,stay_best
deep_sets_mean_max,12345,41,1040,22.30129403591578,41,1,0,1,0,overtake_blocked
deep_sets_mean_max,12345,42,1041,428.98931865806264,525,0,0,0,1,stay_best
deep_sets_mean_max,12345,43,1042,15.494383899391115,30,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,44,1043,12.305902825300576,25,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,45,1044,18.070557999529424,33,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,46,1045,16.31227162190626,32,1,0,1,0,overtake_blocked
deep_sets_mean_max,12345,47,1046,20.65076056209326,38,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,48,1047,14.06034143606306,27,1,0,1,0,overtake_easy
deep_sets_mean_max,12345,49,1048,15.468762947816726,31,1,0,1,0,overtake_blocked
deep_sets_mean_max,12345,50,1049,18.52279771602685,35,1,0,1,0,overtake_easy
