iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4101,23.301136,15.320431,-0.001509,50.33
2,8201,23.033708,14.901499,-0.00066,59.32
3,12309,22.448087,14.64083,-0.001375,44.48
4,16417,23.883721,15.612606,-0.000465,41.01
5,20537,21.798942,14.218488,-0.000557,41.89
6,24640,24.422619,16.350732,-0.001015,37.88
7,28792,24.139535,15.749468,-0.00066,38.65
8,32905,23.502857,15.431193,-0.000428,38.96
9,37009,26.477419,17.850242,-0.000536,37.61
10,41129,28.219178,19.252121,-0.00065,39.82
11,45232,25.968354,17.152191,-0.000599,37.18
12,49332,24.404762,16.15684,-0.000547,37.41
13,53435,27.172185,18.392484,-0.001482,38.2
14,57539,27.543624,18.678251,-0.001405,37.52
15,61689,30.514706,20.679953,1.1e-05,38.69
16,65845,30.115942,20.464293,-0.000429,51.35
17,69967,29.028169,19.866141,-0.00082,41.9
18,74091,27.864865,18.956286,-0.000666,40.26
19,78228,31.340909,21.464762,-0.000524,42.22
20,82333,33.647541,23.199524,-0.000159,39.74
21,86439,29.328571,19.987199,-0.000454,38.25
22,90563,33.528455,23.241821,-0.000342,37.6
23,94710,30.050725,20.48001,-0.000949,38.07
24,98807,35.017094,24.617452,-7.1e-05,37.82
25,102949,36.333333,25.746763,-0.000388,49.43
26,107131,36.684211,26.003381,-0.00012,36.01
27,111227,35.008547,24.475564,-0.000322,35.18
28,115333,35.396552,24.712539,-0.001197,34.78
29,119492,36.165217,24.808284,-0.000634,45.13
30,123625,33.877049,23.401029,0.000161,43.85
31,127784,42.876289,30.787009,-0.000137,46.26
32,131884,42.708333,30.340095,-0.000116,38.2
33,135995,33.153226,22.410927,-0.001186,38.89
34,140117,41.22,29.384825,-0.000674,39.16
35,144219,37.981481,26.883329,0.000187,36.02
36,148328,35.730435,24.977329,-0.000328,36.65
37,152425,36.90991,26.010336,-0.00057,35.08
38,156524,47.114943,34.199152,-0.000738,37.77
39,160711,44.542553,32.188611,-0.000339,36.19
40,165045,49.816092,36.539247,-2.9e-05,37.51
41,169152,39.873786,27.961772,-0.000355,35.46
42,173263,41.525253,29.310709,-0.000725,35.72
43,177361,39.028571,27.270003,-0.000848,34.76
44,181705,44.783505,31.993755,0.0002,37.26
45,185801,51.2,37.916241,-0.000314,35.27
46,189902,41.01,28.459812,-0.000689,34.64
47,194028,55.756757,41.800743,-0.000482,36.11
48,198129,47.137931,33.152623,-0.000346,35.11
49,202263,52.329114,37.550255,-0.000384,34.82
50,206365,45.577778,32.525689,-5.5e-05,37.36
51,210597,51.609756,37.540905,-3e-05,36.75
52,214705,56.273973,41.981223,-0.000146,35.39
53,219050,62.071429,46.375124,-0.000305,37.36
54,223279,57.931507,43.0481,-0.000358,36.07
55,227411,72.491228,54.879518,-0.000166,35.67
56,231507,63.015385,47.227084,-4.6e-05,35.22
57,235626,54.197368,39.568979,1e-05,35.79
58,239729,56.986111,42.004265,-0.000314,35.09
59,243869,47.045455,33.549585,0.000122,36.09
60,247986,66.403226,49.923645,-8.9e-05,35.44
61,252117,48.6,35.409382,-0.000138,35.6
62,256240,56.479452,42.005241,-0.000153,34.64
63,260370,57.361111,42.375498,-4.7e-05,35.02
64,264481,43.273684,30.025361,-0.00072,35.71
65,268719,61.42029,46.054924,0.000259,48.13
66,272826,65.190476,49.010965,-5.5e-05,42.53
67,276938,64.25,47.284098,-2.5e-05,42.51
68,281040,55.432432,40.86439,-0.000483,43.44
69,285197,61.132353,45.765374,-1e-05,41.16
70,289470,64.742424,48.344145,-0.000125,42.48
71,293577,80.529412,61.349125,-0.000233,41.99
72,297917,76.140351,58.13239,-0.00012,44.1
73,302305,61.802817,45.418844,-0.00019,43.23
