model,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario
deep_sets_mean_max,23456,1,1000,19.533198603714744,32,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,2,1001,15.476411963851982,22,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,3,1002,18.68185603248828,31,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,4,1003,16.36590555437644,28,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,5,1004,17.486595801147022,24,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,6,1005,20.885438448205146,34,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,7,1006,18.902998146289633,30,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,8,1007,28.18537857544686,41,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,9,1008,22.042904522495334,34,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,10,1009,15.557434548299497,24,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,11,1010,22.24526708352328,36,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,12,1011,18.719989393629206,29,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,13,1012,24.666343932069978,38,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,14,1013,16.162489606921525,27,1,0,1,0,overtake_blocked
deep_sets_mean_max,23456,15,1014,32.99457035034031,47,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,16,1015,20.06853447862695,33,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,17,1016,19.188494862862076,30,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,18,1017,437.6649222193239,525,0,0,0,1,stay_best
deep_sets_mean_max,23456,19,1018,19.632855156272093,34,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,20,1019,17.920341808843762,29,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,21,1020,14.81920376501715,24,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,22,1021,17.601533919758182,30,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,23,1022,26.89565369214644,41,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,24,1023,22.214411207468718,38,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,25,1024,17.378493253417115,26,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,26,1025,16.10686629338961,30,1,0,1,0,overtake_blocked
deep_sets_mean_max,23456,27,1026,18.798999137993217,29,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,28,1027,21.255197731097006,33,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,29,1028,18.970481887142615,30,1,0,1,0,overtake_blocked
deep_sets_mean_max,23456,30,1029,17.164612495379735,31,1,0,1,0,overtake_blocked
deep_sets_mean_max,23456,31,1030,15.666311505400401,27,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,32,1031,24.58010725636567,39,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,33,1032,439.45732998519105,525,0,0,0,1,stay_best
deep_sets_mean_max,23456,34,1033,28.550815781546873,43,1,0,1,0,overtake_blocked
deep_sets_mean_max,23456,35,1034,439.34798519637224,525,0,0,0,1,stay_best
deep_sets_mean_max,23456,36,1035,21.378722666124194,33,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,37,1036,24.82072214455891,40,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,38,1037,18.549824826437085,29,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,39,1038,14.391963963083894,24,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,40,1039,436.59384154673415,525,0,0,0,1,stay_best
deep_sets_mean_max,23456,41,1040,26.968751634637798,39,1,0,1,0,overtake_blocked
deep_sets_mean_max,23456,42,1041,43.182385316735115,59,1,0,1,0,stay_best
deep_sets_mean_max,23456,43,1042,18.205005556452683,30,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,44,1043,15.252352853500332,25,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,45,1044,24.191875327349628,37,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,46,1045,24.5642156179167,38,1,0,1,0,overtake_blocked
deep_sets_mean_max,23456,47,1046,22.577062881968093,37,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,48,1047,15.92061830203411,27,1,0,1,0,overtake_easy
deep_sets_mean_max,23456,49,1048,18.33727686191911,30,1,0,1,0,overtake_blocked
deep_sets_mean_max,23456,50,1049,20.489442072505263,35,1,0,1,0,overtake_easy
