lane_policy,train_seed,episode_index,eval_seed,start_lane,scenario,episodic_return,episodic_length,collided,terminated,truncated
random,23456,1,1000,0,overtake_easy,25.363022183050752,31,1,1,0
random,23456,2,1001,2,overtake_easy,437.85562816221517,525,0,0,1
random,23456,3,1002,1,overtake_easy,20.349214343557694,33,1,1,0
random,23456,4,1003,0,overtake_easy,28.847983138805553,36,1,1,0
random,23456,5,1004,2,overtake_easy,375.23514557483117,456,1,1,0
random,23456,6,1005,1,stay_best,440.05873269169786,525,0,0,1
random,23456,7,1006,1,overtake_easy,15.52729823494993,26,1,1,0
random,23456,8,1007,0,overtake_blocked,46.899115541088854,62,1,1,0
random,23456,9,1008,1,overtake_blocked,20.145598524806815,33,1,1,0
random,23456,10,1009,2,overtake_easy,407.57647528277374,499,1,1,0
random,23456,11,1010,2,overtake_easy,438.81290001991727,525,0,0,1
random,23456,12,1011,0,overtake_easy,438.64752661858336,525,0,0,1
random,23456,13,1012,2,overtake_blocked,437.2771332860685,525,0,0,1
random,23456,14,1013,0,overtake_easy,27.851270746131483,34,1,1,0
random,23456,15,1014,1,overtake_easy,34.25305759578273,51,1,1,0
random,23456,16,1015,1,overtake_easy,18.130022997623673,31,1,1,0
random,23456,17,1016,1,overtake_easy,18.469560100149653,30,1,1,0
random,23456,18,1017,2,overtake_blocked,25.0135581301752,40,1,1,0
random,23456,19,1018,2,overtake_easy,435.14246547005354,525,0,0,1
random,23456,20,1019,1,overtake_easy,19.13210529045539,33,1,1,0
random,23456,21,1020,2,overtake_easy,437.7130493944998,525,0,0,1
random,23456,22,1021,0,overtake_easy,29.13034022309961,37,1,1,0
random,23456,23,1022,2,stay_best,439.36808196218317,525,0,0,1
random,23456,24,1023,0,stay_best,439.30278829908053,525,0,0,1
random,23456,25,1024,1,overtake_easy,20.37852282115329,35,1,1,0
random,23456,26,1025,2,overtake_easy,437.20911706300876,525,0,0,1
random,23456,27,1026,1,overtake_easy,14.878693271873384,23,1,1,0
random,23456,28,1027,1,overtake_easy,17.755989600781145,28,1,1,0
random,23456,29,1028,1,overtake_easy,20.09653416397001,31,1,1,0
random,23456,30,1029,1,overtake_blocked,12.966328486830001,22,1,1,0
random,23456,31,1030,1,overtake_easy,28.630999475252892,41,1,1,0
random,23456,32,1031,2,stay_best,436.1665205069891,525,0,0,1
random,23456,33,1032,1,overtake_easy,28.81682528025895,43,1,1,0
random,23456,34,1033,1,stay_best,436.77055494444346,525,0,0,1
random,23456,35,1034,1,overtake_easy,18.590080870589,29,1,1,0
random,23456,36,1035,0,overtake_easy,437.36385732524695,525,0,0,1
random,23456,37,1036,1,overtake_blocked,17.205466058422946,27,1,1,0
random,23456,38,1037,1,overtake_easy,24.851348074489728,37,1,1,0
random,23456,39,1038,1,overtake_easy,17.31694952508479,27,1,1,0
random,23456,40,1039,1,overtake_easy,20.395349023750093,37,1,1,0
random,23456,41,1040,0,overtake_blocked,436.5266588141694,525,0,0,1
random,23456,42,1041,2,overtake_easy,39.34175826413193,48,1,1,0
random,23456,43,1042,2,overtake_easy,437.02088077207657,525,0,0,1
random,23456,44,1043,2,overtake_easy,33.55239253108075,41,1,1,0
random,23456,45,1044,0,stay_best,439.42827555860384,525,0,0,1
random,23456,46,1045,2,overtake_easy,438.5891425352376,525,0,0,1
random,23456,47,1046,0,overtake_blocked,155.3948146320689,190,1,1,0
random,23456,48,1047,0,overtake_easy,438.3453708639343,525,0,0,1
random,23456,49,1048,2,overtake_easy,35.467215417570024,44,1,1,0
random,23456,50,1049,2,overtake_easy,438.09538397864264,525,0,0,1
