iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4099,22.398907,14.657324,-0.003637,36.84
2,8212,23.637931,15.519657,-0.000961,34.84
3,12326,22.98324,14.919171,-0.000291,35.75
4,16425,24.39881,16.179664,-0.001756,33.8
5,20535,25.060976,16.756303,-0.000823,34.25
6,24652,23.525714,15.45227,-0.00035,40.02
7,28750,25.296296,16.987607,-0.000483,53.46
8,32847,26.603896,17.833345,-0.00079,37.76
9,37011,24.069364,15.865736,-0.000545,37.99
10,41138,27.513333,18.591974,-0.000562,36.07
11,45262,27.493333,18.514075,-0.000741,34.37
12,49385,31.96124,22.387492,-0.000595,34.01
13,53542,26.819355,18.226492,-0.000671,34.22
14,57660,29.205674,20.157072,-0.000227,34.06
15,61758,27.877551,18.888123,-0.000528,33.83
16,65927,29.153846,19.720575,-0.000651,34.34
17,70029,31.79845,22.036189,-0.000237,34.07
18,74152,30.540741,21.355607,-0.000434,34.88
19,78248,30.340741,20.885184,-0.00074,35.11
20,82350,32.299213,22.570521,-0.00011,34.9
21,86447,31.515385,21.830287,-0.001052,35.97
22,90555,33.950413,23.420899,-0.000312,33.89
23,94664,32.872,22.734812,-0.000121,34.02
24,98799,32.304688,22.215104,-0.000194,33.86
25,102903,30.857143,21.165706,-0.000259,33.79
26,107013,35.128205,24.833807,-0.000154,34.1
27,111147,36.584071,25.622176,-0.000137,33.75
28,115255,34.521008,24.46111,-0.000344,33.69
29,119394,36.955357,26.28917,-0.000116,34.13
30,123500,37.327273,27.021695,-0.000398,33.64
31,127607,34.225,23.903315,0.000102,33.56
32,131710,37.3,26.681613,-0.000311,34.08
33,135824,36.087719,25.334445,-0.000335,34.19
34,139937,37.390909,26.701801,-0.000142,34.28
35,144045,40.673267,29.201855,-0.000264,33.63
36,148148,42.298969,30.612295,-0.000299,34.26
37,152297,35.161017,24.571562,-0.000263,43.78
38,156414,39.586538,28.07049,-0.000768,35.97
39,160557,42.71134,31.110013,0.000146,36.0
40,164664,45.131868,32.828525,-0.000433,34.29
41,168775,35.136752,24.920059,-0.000141,33.95
42,172911,39.390476,28.230387,-0.000896,34.66
43,177076,44.784946,32.853697,-0.000864,34.94
44,181180,42.75,30.971336,0.000315,34.6
45,185323,40.617647,29.086171,-0.000197,34.09
46,189427,39.085714,27.615858,-0.000962,35.02
47,193548,34.057851,23.79896,-3.8e-05,33.51
48,197670,51.525,38.585695,-8.7e-05,34.35
49,201788,39.980583,28.43554,-0.000179,34.2
50,205891,45.588889,33.38779,-0.000427,34.1
51,209989,44.064516,31.939415,-5.1e-05,33.65
52,214090,54.68,41.068682,-0.001049,33.9
53,218210,44.301075,32.208382,-0.00035,34.35
54,222311,53.960526,40.317556,-0.000123,34.1
55,226414,50.036585,37.038318,-0.000184,35.29
56,230519,39.471154,27.481197,-2.3e-05,33.5
57,234653,48.069767,35.317367,-0.000537,33.94
58,238760,39.490385,27.67438,-0.000514,34.15
59,242969,42.94898,30.812734,-0.000489,35.12
60,247091,42.061224,30.51625,0.000222,34.44
61,251479,45.237113,32.717448,-0.000137,36.74
62,255796,53.296296,39.406118,-0.000446,36.23
63,259930,47.517241,34.336059,-0.000109,34.25
64,264029,41.40404,29.567692,-0.000278,33.32
65,268134,49.457831,36.161714,-0.000372,33.71
66,272465,45.589474,33.032304,-0.000427,35.76
67,276579,59.623188,44.544292,-0.000842,33.71
68,280740,67.112903,50.07974,0.000216,34.51
69,284841,41.846939,29.09517,-0.001188,33.52
70,288947,55.486486,40.640046,-0.000848,33.89
71,293063,58.8,44.045182,0.000275,34.04
72,297326,46.846154,33.813594,-0.000321,35.66
73,301503,54.246753,40.04565,-0.001041,35.54
