iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4119,20.492537,13.587994,-0.002027,78.38
2,8218,20.192118,13.59723,-0.000981,75.57
3,12324,21.164948,14.438101,-0.001844,83.03
4,16423,21.687831,14.878426,-0.001552,77.06
5,20524,19.716346,13.069188,-0.00081,73.92
6,24639,24.205882,16.983085,-0.000914,70.55
7,28738,22.156757,15.205066,-0.000954,71.0
8,32841,25.805031,18.208353,-0.000924,69.14
9,36975,23.355932,15.913247,-0.000833,70.78
10,41071,25.128834,17.547155,-0.000779,70.66
11,45179,25.202454,17.711399,-0.000901,70.15
12,49317,25.231707,17.755836,-0.000681,72.57
13,53413,24.97561,17.71726,-0.000839,70.07
14,57532,24.229412,16.909157,-0.000954,70.87
15,61654,28.825175,20.740163,-0.001494,71.61
16,65762,26.503226,18.933033,-0.001519,70.67
17,69892,29.71223,21.652864,-0.001741,71.29
18,74006,32.393701,23.775281,-0.001203,72.31
19,78105,30.362963,21.847782,-0.000832,76.0
20,82239,32.809524,24.165799,-0.000392,82.39
21,86398,33.007937,24.34659,-0.000518,81.32
22,90508,30.0,21.318888,-0.000849,79.87
23,94647,31.356061,22.750278,-0.000706,78.09
24,98746,35.034188,25.86704,-0.000773,84.28
25,102854,34.233333,25.358667,-0.000501,83.18
