iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4118,22.259459,13.956104,-0.002143,55.04
2,8235,20.082927,12.468995,-0.001043,53.92
3,12338,21.941176,13.896675,-0.001005,53.6
4,16459,22.396739,13.876608,-0.000659,53.07
5,20580,22.767956,14.29023,-0.000903,53.15
6,24684,25.177914,16.283897,-0.000683,53.81
7,28814,24.152047,15.305122,-0.000851,55.33
8,32946,24.023256,15.247498,-0.000925,54.66
9,37069,26.094937,17.036999,-0.000868,54.94
10,41165,27.863946,18.069649,-0.000877,55.29
11,45289,31.242424,21.100078,-0.000586,54.49
12,49426,27.217105,17.953582,-0.001151,55.55
13,53541,32.401575,22.102812,-0.000719,57.36
14,57638,28.65035,19.04786,-0.001463,56.12
15,61761,31.473282,20.931461,-0.000363,56.27
16,65894,37.917431,26.363649,-0.001095,55.37
17,69995,36.292035,25.041002,-0.000285,55.13
18,74093,36.265487,25.210178,-0.001128,56.03
19,78257,34.7,23.781807,-0.000609,57.39
20,82384,38.570093,26.99125,-0.000192,55.71
21,86494,39.519231,27.986589,-0.000716,52.3
22,90608,46.224719,33.658153,-0.000433,53.74
23,94716,38.392523,26.536976,-0.000605,52.92
24,98813,45.522222,33.206283,-0.000644,54.35
25,102930,36.433628,24.924449,-0.000857,55.13
