model,seed,episodic_return,episodic_length,collided
deep_sets_mean_max_baseline,1000,286.83840265825165,355,1
deep_sets_mean_max_baseline,1001,322.42257782461064,408,1
deep_sets_mean_max_baseline,1002,24.17378058828387,48,1
deep_sets_mean_max_baseline,1003,41.83201845201389,53,1
deep_sets_mean_max_baseline,1004,498.5520048124314,600,0
deep_sets_mean_max_baseline,1005,501.70448022740726,600,0
deep_sets_mean_max_baseline,1006,16.002637526905186,35,1
deep_sets_mean_max_baseline,1007,498.74863897791295,600,0
deep_sets_mean_max_baseline,1008,31.03087124178809,54,1
deep_sets_mean_max_baseline,1009,497.0616487585092,600,0
deep_sets_mean_max_baseline,1010,57.31712081377103,77,1
deep_sets_mean_max_baseline,1011,497.9593230359816,600,0
deep_sets_mean_max_baseline,1012,42.61092872649421,56,1
deep_sets_mean_max_baseline,1013,42.76152596046185,54,1
deep_sets_mean_max_baseline,1014,69.40385274987311,100,1
deep_sets_mean_max_baseline,1015,19.584090531489377,41,1
deep_sets_mean_max_baseline,1016,19.095097958334467,40,1
deep_sets_mean_max_baseline,1017,160.68087750747253,197,1
deep_sets_mean_max_baseline,1018,51.98706971354166,66,1
deep_sets_mean_max_baseline,1019,35.21968983389758,53,1
deep_sets_mean_max_baseline,1020,41.80924485470408,52,1
deep_sets_mean_max_baseline,1021,41.560718526782836,51,1
deep_sets_mean_max_baseline,1022,501.2405669714347,600,0
deep_sets_mean_max_baseline,1023,498.27798962232026,600,0
deep_sets_mean_max_baseline,1024,31.14326932989537,55,1
deep_sets_mean_max_baseline,1025,413.97289547401533,519,1
deep_sets_mean_max_baseline,1026,13.945266943302641,31,1
deep_sets_mean_max_baseline,1027,17.981705643515475,38,1
deep_sets_mean_max_baseline,1028,20.596390286812913,43,1
deep_sets_mean_max_baseline,1029,13.196804107018544,30,1
deep_sets_mean_max_baseline,1030,31.610016410641215,55,1
deep_sets_mean_max_baseline,1031,499.66537272623634,600,0
deep_sets_mean_max_baseline,1032,36.62548811536165,64,1
deep_sets_mean_max_baseline,1033,498.41127821612406,600,0
deep_sets_mean_max_baseline,1034,19.945940059006936,41,1
deep_sets_mean_max_baseline,1035,497.4942366672947,600,0
deep_sets_mean_max_baseline,1036,17.302753631339442,37,1
deep_sets_mean_max_baseline,1037,24.549984694461408,48,1
deep_sets_mean_max_baseline,1038,17.73970380499589,38,1
deep_sets_mean_max_baseline,1039,25.701477059195152,50,1
deep_sets_mean_max_baseline,1040,53.975295558566515,67,1
deep_sets_mean_max_baseline,1041,498.06475090711854,600,0
deep_sets_mean_max_baseline,1042,498.61388679852917,600,0
deep_sets_mean_max_baseline,1043,48.436248664419864,62,1
deep_sets_mean_max_baseline,1044,498.1138369899177,600,0
deep_sets_mean_max_baseline,1045,498.5247895229367,600,0
deep_sets_mean_max_baseline,1046,496.07049391776394,600,0
