iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_raw_episodic_return,avg_loss,avg_critic_uncertainty,iteration_seconds
1,4098,20.91,13.115,13.193,-0.00145,0.00029,95.38
2,8208,20.97,12.862,12.936,-0.00106,0.00028,91.56
3,12307,22.04,13.816,13.896,-0.00119,0.00028,91.68
4,16411,22.3,14.072,14.153,-0.00096,0.00029,93.55
5,20522,22.84,14.67,14.754,-0.0009,0.00029,93.15
6,24627,24.29,15.68,15.769,-0.00128,0.00029,92.24
7,28738,26.52,17.435,17.534,-0.00088,0.00031,94.0
8,32842,25.49,16.835,16.931,-0.00061,0.00031,92.85
9,36964,25.44,16.591,16.687,-0.00091,0.00032,93.56
10,41071,25.67,16.582,16.677,-0.00083,0.00033,92.3
11,45184,27.6,18.402,18.497,-0.00051,0.00034,92.19
12,49308,26.95,17.865,17.972,-0.00149,0.00035,93.14
13,53426,27.82,18.576,18.677,-0.00112,0.00037,92.43
14,57551,27.14,17.991,18.089,-0.00062,0.00041,93.56
15,61657,28.12,18.598,18.7,-0.00105,0.00041,91.88
16,65766,33.41,23.157,23.281,-0.00056,0.00044,93.0
17,69866,32.54,22.452,22.575,-0.00107,0.00045,90.82
18,73984,31.2,21.679,21.798,-0.00011,0.0005,93.28
19,78093,38.05,26.862,26.992,-0.00056,0.00051,94.33
20,82193,32.28,22.331,22.454,-0.00037,0.00057,95.66
21,86300,35.1,24.161,24.295,-0.00043,0.00059,95.71
22,90413,38.08,26.942,27.086,-0.00074,0.00064,95.45
23,94516,36.31,25.084,25.21,-0.0009,0.00071,96.7
24,98644,38.94,28.103,28.251,-0.00041,0.00075,96.2
25,102766,37.82,26.532,26.658,-0.00046,0.00082,96.03
