iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4101,22.532967,14.269218,-0.001354,53.95
2,8201,23.163842,14.891637,-0.000729,52.26
3,12311,23.895349,15.466683,-0.000994,52.67
4,16424,25.546584,17.018112,-0.000422,53.53
5,20525,23.039326,14.648029,-0.000927,52.25
6,24648,24.987879,16.241167,-0.000602,52.32
7,28790,25.256098,16.12932,-0.000838,50.39
8,32920,25.337423,16.72232,-0.000302,50.51
9,37040,24.52381,15.756613,-0.001312,50.56
10,41145,27.006579,17.746734,-0.000915,50.27
11,45289,28.57931,19.446147,-0.000961,50.55
12,49415,29.262411,19.789759,-0.000431,49.86
13,53538,30.316176,20.230822,-0.000429,49.92
14,57637,26.616883,17.677594,-0.000524,49.86
15,61769,34.14876,23.712474,-0.000878,50.26
16,65934,33.861789,23.145091,-0.001266,50.69
17,70034,29.710145,19.35912,-0.000189,49.46
18,74136,32.046875,21.20908,-0.000446,49.75
19,78250,34.283333,23.366817,-0.000715,50.3
20,82381,37.216216,25.226426,-0.00023,50.35
21,86498,32.417323,21.474672,-0.0008,63.46
22,90610,34.266667,22.767859,-0.00087,58.55
23,94726,34.588235,23.003828,-0.000415,57.41
24,98855,35.904348,23.881733,-0.000573,57.09
25,102978,36.166667,24.454118,-0.001013,55.82
