model,seed,episodic_return,episodic_length,collided
uncertainty_aware_lambda_0.01,1000,24.57468066079426,41,1
uncertainty_aware_lambda_0.01,1001,12.762914936704462,27,1
uncertainty_aware_lambda_0.01,1002,23.925732324415335,39,1
uncertainty_aware_lambda_0.01,1003,21.946326380444024,36,1
uncertainty_aware_lambda_0.01,1004,18.080734575315777,29,1
uncertainty_aware_lambda_0.01,1005,25.896029414163397,44,1
uncertainty_aware_lambda_0.01,1006,22.679569368869924,38,1
uncertainty_aware_lambda_0.01,1007,28.280642642621306,49,1
uncertainty_aware_lambda_0.01,1008,23.69691815167667,38,1
uncertainty_aware_lambda_0.01,1009,19.5250617499665,31,1
uncertainty_aware_lambda_0.01,1010,31.929598681156694,50,1
uncertainty_aware_lambda_0.01,1011,22.223648169511872,36,1
uncertainty_aware_lambda_0.01,1012,25.055645040169974,42,1
uncertainty_aware_lambda_0.01,1013,15.649802683600544,33,1
uncertainty_aware_lambda_0.01,1014,30.65509011742951,49,1
uncertainty_aware_lambda_0.01,1015,27.081228103286087,46,1
uncertainty_aware_lambda_0.01,1016,23.19144057380946,38,1
uncertainty_aware_lambda_0.01,1017,502.7348770917181,600,0
uncertainty_aware_lambda_0.01,1018,22.984419083726575,45,1
uncertainty_aware_lambda_0.01,1019,21.111955132282393,36,1
uncertainty_aware_lambda_0.01,1020,15.194906675701114,31,1
uncertainty_aware_lambda_0.01,1021,24.645213532226578,42,1
uncertainty_aware_lambda_0.01,1022,29.90946085968535,52,1
uncertainty_aware_lambda_0.01,1023,25.292306152744562,45,1
uncertainty_aware_lambda_0.01,1024,21.419626769131153,35,1
uncertainty_aware_lambda_0.01,1025,23.9182883287211,38,1
uncertainty_aware_lambda_0.01,1026,22.178904924770293,38,1
uncertainty_aware_lambda_0.01,1027,23.077173478530998,42,1
uncertainty_aware_lambda_0.01,1028,24.76968352817732,39,1
uncertainty_aware_lambda_0.01,1029,20.11270507466314,38,1
uncertainty_aware_lambda_0.01,1030,20.315120913378948,36,1
uncertainty_aware_lambda_0.01,1031,25.638753320825135,48,1
uncertainty_aware_lambda_0.01,1032,502.5574508752551,600,0
uncertainty_aware_lambda_0.01,1033,36.48808852929027,54,1
uncertainty_aware_lambda_0.01,1034,498.97855557751745,600,0
uncertainty_aware_lambda_0.01,1035,23.048948549729374,42,1
uncertainty_aware_lambda_0.01,1036,25.862247829877653,48,1
uncertainty_aware_lambda_0.01,1037,20.919842190020734,40,1
uncertainty_aware_lambda_0.01,1038,19.550551919858542,31,1
uncertainty_aware_lambda_0.01,1039,501.67815311280043,600,0
uncertainty_aware_lambda_0.01,1040,26.642355485070656,42,1
uncertainty_aware_lambda_0.01,1041,380.29524394558285,468,1
uncertainty_aware_lambda_0.01,1042,23.767715921695824,39,1
uncertainty_aware_lambda_0.01,1043,16.29826262300562,31,1
uncertainty_aware_lambda_0.01,1044,24.222018992106253,39,1
uncertainty_aware_lambda_0.01,1045,26.33543637501922,42,1
uncertainty_aware_lambda_0.01,1046,31.995131044110018,51,1
uncertainty_aware_lambda_0.01,1047,18.469912565927725,37,1
uncertainty_aware_lambda_0.01,1048,23.45932723960541,40,1
uncertainty_aware_lambda_0.01,1049,26.934244463214053,46,1
