model,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario
self_attention,45678,1,1000,440.0557521058771,525,0,0,0,1,overtake_easy
self_attention,45678,2,1001,441.2483028146604,525,0,0,0,1,overtake_easy
self_attention,45678,3,1002,29.20160259132235,49,1,0,1,0,overtake_easy
self_attention,45678,4,1003,440.1691919707042,525,0,0,0,1,overtake_easy
self_attention,45678,5,1004,440.97699203449514,525,0,0,0,1,overtake_easy
self_attention,45678,6,1005,442.6610667806369,525,0,0,0,1,stay_best
self_attention,45678,7,1006,21.755286215039398,38,1,0,1,0,overtake_easy
self_attention,45678,8,1007,441.5299211775905,525,0,0,0,1,overtake_blocked
self_attention,45678,9,1008,24.53950677602661,41,1,0,1,0,overtake_blocked
self_attention,45678,10,1009,437.09090058015397,525,0,0,0,1,overtake_easy
self_attention,45678,11,1010,441.4352877913335,525,0,0,0,1,overtake_easy
self_attention,45678,12,1011,441.23008114107466,525,0,0,0,1,overtake_easy
self_attention,45678,13,1012,388.84512476976886,478,1,0,1,0,overtake_easy
self_attention,45678,14,1013,434.80974805040495,525,0,0,0,1,overtake_easy
self_attention,45678,15,1014,42.85966807833227,67,1,0,1,0,overtake_easy
self_attention,45678,16,1015,26.915974213283473,44,1,0,1,0,overtake_easy
self_attention,45678,17,1016,25.59452744070058,45,1,0,1,0,overtake_easy
self_attention,45678,18,1017,235.38746417799214,281,1,0,1,0,overtake_blocked
self_attention,45678,19,1018,437.1937611996496,525,0,0,0,1,overtake_easy
self_attention,45678,20,1019,29.94952291699182,51,1,0,1,0,overtake_easy
self_attention,45678,21,1020,441.1230499604835,525,0,0,0,1,overtake_easy
self_attention,45678,22,1021,439.5702344271885,525,0,0,0,1,overtake_easy
self_attention,45678,23,1022,442.56198797394376,525,0,0,0,1,stay_best
self_attention,45678,24,1023,440.95874794024155,525,0,0,0,1,stay_best
self_attention,45678,25,1024,31.39800336765266,51,1,0,1,0,overtake_easy
self_attention,45678,26,1025,441.36241541952387,525,0,0,0,1,overtake_easy
self_attention,45678,27,1026,18.885172630650302,34,1,0,1,0,overtake_easy
self_attention,45678,28,1027,23.335348973982203,40,1,0,1,0,overtake_easy
self_attention,45678,29,1028,25.418812986881914,43,1,0,1,0,overtake_easy
self_attention,45678,30,1029,18.456874647220282,34,1,0,1,0,overtake_blocked
self_attention,45678,31,1030,31.1453627335171,52,1,0,1,0,overtake_easy
self_attention,45678,32,1031,442.2222373133465,525,0,0,0,1,stay_best
self_attention,45678,33,1032,37.73340445574196,61,1,0,1,0,overtake_easy
self_attention,45678,34,1033,34.53250752825816,57,1,0,1,0,overtake_blocked
self_attention,45678,35,1034,22.785921624892197,41,1,0,1,0,overtake_easy
self_attention,45678,36,1035,440.60587940777305,525,0,0,0,1,overtake_easy
self_attention,45678,37,1036,23.228077063583445,40,1,0,1,0,overtake_blocked
self_attention,45678,38,1037,28.698881312318804,49,1,0,1,0,overtake_easy
self_attention,45678,39,1038,25.12832500573101,44,1,0,1,0,overtake_easy
self_attention,45678,40,1039,48.367069984363866,65,1,0,1,0,overtake_easy
self_attention,45678,41,1040,32.447588625680446,53,1,0,1,0,overtake_easy
self_attention,45678,42,1041,408.0922072444224,500,1,0,1,0,overtake_easy
self_attention,45678,43,1042,441.5193648072875,525,0,0,0,1,overtake_easy
self_attention,45678,44,1043,103.32707471745837,136,1,0,1,0,overtake_easy
self_attention,45678,45,1044,26.883518313513445,40,1,0,1,0,overtake_blocked
self_attention,45678,46,1045,441.5606564861447,525,0,0,0,1,overtake_easy
self_attention,45678,47,1046,85.52150230198134,108,1,0,1,0,overtake_blocked
self_attention,45678,48,1047,440.57852404043854,525,0,0,0,1,overtake_easy
self_attention,45678,49,1048,65.01284190946255,92,1,0,1,0,overtake_easy
self_attention,45678,50,1049,439.38499198938706,525,0,0,0,1,overtake_easy
