iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4105,15.374532,9.39286,-0.005494,59.08
2,8205,18.061674,11.522189,-0.004911,54.75
3,12305,21.243523,13.872223,-0.005066,54.22
4,16451,23.292135,15.602372,-0.002628,55.59
5,20557,28.317241,19.559352,-0.003706,56.93
6,24669,28.555556,20.000791,-0.003762,55.62
7,28842,33.926829,24.699714,-0.002457,53.97
8,32949,39.490385,29.077409,-0.003106,55.1
9,37107,43.768421,32.974844,-0.001507,53.21
10,41237,46.404494,34.678123,-0.002323,53.0
11,45338,52.576923,39.842887,-0.001718,53.81
12,49546,66.793651,52.616188,-0.001074,53.67
13,53865,78.527273,62.577384,-0.001184,54.93
14,58007,70.20339,54.478282,-0.001212,52.47
15,62124,79.173077,61.360091,-0.000453,53.01
16,66225,85.4375,67.895851,-0.000132,56.03
17,70392,85.040816,68.237455,-0.001517,54.97
18,74569,116.027778,91.951125,-0.001295,55.31
19,78693,105.74359,83.580082,-0.000418,52.68
20,82846,115.361111,93.939738,-0.001672,53.98
21,86949,100.073171,78.560177,0.000178,54.48
22,91236,158.777778,130.107992,-0.000555,55.43
23,95356,121.176471,96.967436,-0.000329,53.3
24,99614,106.45,84.456595,-0.000998,54.15
25,103747,111.702703,89.058922,-0.000286,53.11
