model,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario
self_attention,34567,1,1000,438.84515910343947,525,0,0,0,1,overtake_easy
self_attention,34567,2,1001,440.7364738628523,525,0,0,0,1,overtake_easy
self_attention,34567,3,1002,29.57773752983046,50,1,0,1,0,overtake_easy
self_attention,34567,4,1003,438.6015276275041,525,0,0,0,1,overtake_easy
self_attention,34567,5,1004,440.4143836466931,525,0,0,0,1,overtake_easy
self_attention,34567,6,1005,441.93612427230505,525,0,0,0,1,stay_best
self_attention,34567,7,1006,21.814604653937476,39,1,0,1,0,overtake_easy
self_attention,34567,8,1007,439.41062439903806,525,0,0,0,1,overtake_blocked
self_attention,34567,9,1008,23.97319599502853,43,1,0,1,0,overtake_blocked
self_attention,34567,10,1009,437.86462966881123,525,0,0,0,1,overtake_easy
self_attention,34567,11,1010,440.909613826324,525,0,0,0,1,overtake_easy
self_attention,34567,12,1011,439.05771301970475,525,0,0,0,1,overtake_easy
self_attention,34567,13,1012,439.84498741666704,525,0,0,0,1,overtake_easy
self_attention,34567,14,1013,438.8418620659482,525,0,0,0,1,overtake_easy
self_attention,34567,15,1014,44.58430831742706,69,1,0,1,0,overtake_easy
self_attention,34567,16,1015,26.209971364391066,45,1,0,1,0,overtake_easy
self_attention,34567,17,1016,25.602686427740043,45,1,0,1,0,overtake_easy
self_attention,34567,18,1017,409.5148051958762,489,1,0,1,0,overtake_blocked
self_attention,34567,19,1018,437.74489342669136,525,0,0,0,1,overtake_easy
self_attention,34567,20,1019,30.081404172354926,51,1,0,1,0,overtake_easy
self_attention,34567,21,1020,245.97628658920564,307,1,0,1,0,overtake_easy
self_attention,34567,22,1021,438.4805210441315,525,0,0,0,1,overtake_easy
self_attention,34567,23,1022,440.93974031879316,525,0,0,0,1,stay_best
self_attention,34567,24,1023,439.1247914525539,525,0,0,0,1,stay_best
self_attention,34567,25,1024,32.022367762925256,53,1,0,1,0,overtake_easy
self_attention,34567,26,1025,440.911305691496,525,0,0,0,1,overtake_easy
self_attention,34567,27,1026,18.885209005598888,34,1,0,1,0,overtake_easy
self_attention,34567,28,1027,23.332590433906763,40,1,0,1,0,overtake_easy
self_attention,34567,29,1028,25.416572013379298,43,1,0,1,0,overtake_easy
self_attention,34567,30,1029,18.43010250610631,34,1,0,1,0,overtake_blocked
self_attention,34567,31,1030,31.54332645833605,53,1,0,1,0,overtake_easy
self_attention,34567,32,1031,441.82052788536595,525,0,0,0,1,stay_best
self_attention,34567,33,1032,38.9887151807149,63,1,0,1,0,overtake_easy
self_attention,34567,34,1033,35.18472105744497,58,1,0,1,0,overtake_blocked
self_attention,34567,35,1034,23.29070223327657,42,1,0,1,0,overtake_easy
self_attention,34567,36,1035,439.1618050697855,525,0,0,0,1,overtake_easy
self_attention,34567,37,1036,23.539019250742136,41,1,0,1,0,overtake_blocked
self_attention,34567,38,1037,28.704530074089178,49,1,0,1,0,overtake_easy
self_attention,34567,39,1038,25.133315089748358,44,1,0,1,0,overtake_easy
self_attention,34567,40,1039,38.3981136286226,61,1,0,1,0,overtake_easy
self_attention,34567,41,1040,438.6201625773913,525,0,0,0,1,overtake_easy
self_attention,34567,42,1041,441.02529587928046,525,0,0,0,1,overtake_easy
self_attention,34567,43,1042,440.7441221314526,525,0,0,0,1,overtake_easy
self_attention,34567,44,1043,112.61213713957765,147,1,0,1,0,overtake_easy
self_attention,34567,45,1044,438.6634868233093,525,0,0,0,1,overtake_blocked
self_attention,34567,46,1045,440.8804078148808,525,0,0,0,1,overtake_easy
self_attention,34567,47,1046,435.6598152867468,525,0,0,0,1,overtake_blocked
self_attention,34567,48,1047,439.05460519586103,525,0,0,0,1,overtake_easy
self_attention,34567,49,1048,66.44238436347297,95,1,0,1,0,overtake_easy
self_attention,34567,50,1049,439.79748224466783,525,0,0,0,1,overtake_easy
