model,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario
self_attention,12345,1,1000,87.71368852788012,106,1,0,1,0,overtake_easy
self_attention,12345,2,1001,74.05659128097517,89,1,0,1,0,overtake_easy
self_attention,12345,3,1002,16.26716837705296,27,1,0,1,0,overtake_easy
self_attention,12345,4,1003,46.17428086117502,64,1,0,1,0,overtake_easy
self_attention,12345,5,1004,150.70975108515313,175,1,0,1,0,overtake_easy
self_attention,12345,6,1005,130.80121471901958,152,1,0,1,0,stay_best
self_attention,12345,7,1006,12.640288316189222,23,1,0,1,0,overtake_easy
self_attention,12345,8,1007,18.057285898381668,31,1,0,1,0,overtake_blocked
self_attention,12345,9,1008,14.508049466696518,26,1,0,1,0,overtake_blocked
self_attention,12345,10,1009,56.45454179569303,75,1,0,1,0,overtake_easy
self_attention,12345,11,1010,253.57962566312088,287,1,0,1,0,overtake_easy
self_attention,12345,12,1011,272.90439520847127,295,1,0,1,0,overtake_easy
self_attention,12345,13,1012,221.4044012615398,263,1,0,1,0,overtake_blocked
self_attention,12345,14,1013,19.6460111880518,27,1,0,1,0,overtake_easy
self_attention,12345,15,1014,20.576999442712477,33,1,0,1,0,overtake_easy
self_attention,12345,16,1015,17.681563158759616,26,1,0,1,0,overtake_easy
self_attention,12345,17,1016,14.123387149125643,25,1,0,1,0,overtake_easy
self_attention,12345,18,1017,18.82808899302803,30,1,0,1,0,overtake_blocked
self_attention,12345,19,1018,27.08667624137737,31,1,0,1,0,overtake_easy
self_attention,12345,20,1019,15.656412561154143,27,1,0,1,0,overtake_easy
self_attention,12345,21,1020,273.09270491561557,284,1,0,1,0,overtake_easy
self_attention,12345,22,1021,179.89988866136895,198,1,0,1,0,overtake_easy
self_attention,12345,23,1022,245.57778442006156,263,1,0,1,0,stay_best
self_attention,12345,24,1023,76.77099645161877,98,1,0,1,0,stay_best
self_attention,12345,25,1024,15.992401677077607,28,1,0,1,0,overtake_easy
self_attention,12345,26,1025,109.60788247619361,130,1,0,1,0,overtake_easy
self_attention,12345,27,1026,10.769906756831778,20,1,0,1,0,overtake_easy
self_attention,12345,28,1027,13.851978524078534,24,1,0,1,0,overtake_easy
self_attention,12345,29,1028,15.350079997326624,26,1,0,1,0,overtake_easy
self_attention,12345,30,1029,10.47569256084455,20,1,0,1,0,overtake_blocked
self_attention,12345,31,1030,18.28812637746845,30,1,0,1,0,overtake_easy
self_attention,12345,32,1031,30.644469626037672,38,1,0,1,0,stay_best
self_attention,12345,33,1032,20.75879918674981,33,1,0,1,0,overtake_easy
self_attention,12345,34,1033,148.55253872885152,180,1,0,1,0,stay_best
self_attention,12345,35,1034,12.954137363757258,24,1,0,1,0,overtake_easy
self_attention,12345,36,1035,132.9387997503719,156,1,0,1,0,overtake_easy
self_attention,12345,37,1036,13.644153675161602,24,1,0,1,0,overtake_blocked
self_attention,12345,38,1037,15.933132882379676,27,1,0,1,0,overtake_easy
self_attention,12345,39,1038,13.013911430057851,23,1,0,1,0,overtake_easy
self_attention,12345,40,1039,22.45849079711253,29,1,0,1,0,overtake_easy
self_attention,12345,41,1040,23.629620190806254,29,1,0,1,0,overtake_blocked
self_attention,12345,42,1041,133.67096026848543,162,1,0,1,0,overtake_easy
self_attention,12345,43,1042,60.74640358549006,81,1,0,1,0,overtake_easy
self_attention,12345,44,1043,110.51256730926028,138,1,0,1,0,overtake_easy
self_attention,12345,45,1044,390.56103536570515,411,1,0,1,0,stay_best
self_attention,12345,46,1045,112.71633954651074,132,1,0,1,0,overtake_easy
self_attention,12345,47,1046,20.33204760041223,30,1,0,1,0,overtake_blocked
self_attention,12345,48,1047,146.6661872509932,170,1,0,1,0,overtake_easy
self_attention,12345,49,1048,156.9463248678345,195,1,0,1,0,overtake_easy
self_attention,12345,50,1049,77.50364675514153,95,1,0,1,0,overtake_easy
