iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4107,10.779528,5.445387,-0.010175,48.11
2,8207,11.202186,5.711451,-0.008905,38.78
3,12311,15.784615,9.15144,-0.012932,38.9
4,16418,28.324138,19.100379,-0.00743,38.22
5,20620,31.833333,22.512257,-0.000338,38.53
6,24719,34.445378,24.26298,-0.002164,37.22
7,28817,40.98,29.646103,-0.000829,37.87
8,32921,45.6,33.652941,-0.001526,38.7
9,37017,49.349398,36.799481,-0.00145,37.62
10,41135,43.808511,32.525633,-0.000968,38.04
11,45274,53.753247,40.275837,-0.001819,37.67
12,49479,59.225352,45.10343,-0.001267,38.29
13,53726,61.550725,46.682179,-0.001314,38.61
14,57927,76.381818,59.646895,-0.001538,39.02
15,62030,70.741379,54.786735,-0.00068,40.44
16,66189,94.522727,74.481201,-0.000992,38.82
17,70332,115.083333,91.896507,3.2e-05,41.11
18,74456,68.733333,52.835143,-0.000833,39.02
19,78596,108.947368,86.819275,-0.0008,39.81
20,82699,124.333333,100.193527,-5.8e-05,38.05
21,86882,123.029412,98.716231,-0.001105,38.63
22,90978,80.313725,62.760608,-0.000646,37.75
23,95108,114.722222,91.889468,-0.001249,38.45
24,99445,98.568182,79.012661,-0.000295,40.62
25,103547,110.864865,88.426018,-0.000289,38.55
