model,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario
self_attention,23456,1,1000,431.42559701684803,525,0,0,0,1,overtake_easy
self_attention,23456,2,1001,439.3049698957457,525,0,0,0,1,overtake_easy
self_attention,23456,3,1002,18.04692907998936,33,1,0,1,0,overtake_easy
self_attention,23456,4,1003,429.04089628062803,525,0,0,0,1,overtake_easy
self_attention,23456,5,1004,438.8817116822725,525,0,0,0,1,overtake_easy
self_attention,23456,6,1005,440.56168203389194,525,0,0,0,1,stay_best
self_attention,23456,7,1006,13.277422128562792,26,1,0,1,0,overtake_easy
self_attention,23456,8,1007,33.54302381869192,49,1,0,1,0,overtake_blocked
self_attention,23456,9,1008,16.81829354711355,33,1,0,1,0,overtake_blocked
self_attention,23456,10,1009,437.141730957571,525,0,0,0,1,overtake_easy
self_attention,23456,11,1010,439.627641669568,525,0,0,0,1,overtake_easy
self_attention,23456,12,1011,438.54031060890776,525,0,0,0,1,overtake_easy
self_attention,23456,13,1012,439.44726647145757,525,0,0,0,1,overtake_blocked
self_attention,23456,14,1013,438.64949732267496,525,0,0,0,1,overtake_easy
self_attention,23456,15,1014,24.658844214592662,44,1,0,1,0,overtake_easy
self_attention,23456,16,1015,16.115877913459443,30,1,0,1,0,overtake_easy
self_attention,23456,17,1016,15.530216873189286,30,1,0,1,0,overtake_easy
self_attention,23456,18,1017,32.67652006274255,47,1,0,1,0,overtake_blocked
self_attention,23456,19,1018,439.69721475785303,525,0,0,0,1,overtake_easy
self_attention,23456,20,1019,17.439695560665534,33,1,0,1,0,overtake_easy
self_attention,23456,21,1020,439.22674118782777,525,0,0,0,1,overtake_easy
self_attention,23456,22,1021,438.8548151197535,525,0,0,0,1,overtake_easy
self_attention,23456,23,1022,440.4331814956458,525,0,0,0,1,stay_best
self_attention,23456,24,1023,439.1622053641703,525,0,0,0,1,stay_best
self_attention,23456,25,1024,18.290339361215675,35,1,0,1,0,overtake_easy
self_attention,23456,26,1025,439.3484421145232,525,0,0,0,1,overtake_easy
self_attention,23456,27,1026,11.511667609891816,23,1,0,1,0,overtake_easy
self_attention,23456,28,1027,14.879083222628772,28,1,0,1,0,overtake_easy
self_attention,23456,29,1028,16.727878722471836,31,1,0,1,0,overtake_easy
self_attention,23456,30,1029,10.821697270484027,22,1,0,1,0,overtake_blocked
self_attention,23456,31,1030,20.397178812479172,37,1,0,1,0,overtake_easy
self_attention,23456,32,1031,439.59764332743606,525,0,0,0,1,stay_best
self_attention,23456,33,1032,24.515231216878547,44,1,0,1,0,overtake_easy
self_attention,23456,34,1033,435.08258036564166,525,0,0,0,1,stay_best
self_attention,23456,35,1034,13.997760516693278,28,1,0,1,0,overtake_easy
self_attention,23456,36,1035,438.80719593003755,525,0,0,0,1,overtake_easy
self_attention,23456,37,1036,14.266507112346732,27,1,0,1,0,overtake_blocked
self_attention,23456,38,1037,17.711495949876777,33,1,0,1,0,overtake_easy
self_attention,23456,39,1038,14.090990511409627,27,1,0,1,0,overtake_easy
self_attention,23456,40,1039,20.125328933534412,38,1,0,1,0,overtake_easy
self_attention,23456,41,1040,438.8740353427832,525,0,0,0,1,overtake_blocked
self_attention,23456,42,1041,438.5112629392663,525,0,0,0,1,overtake_easy
self_attention,23456,43,1042,438.2973973634449,525,0,0,0,1,overtake_easy
self_attention,23456,44,1043,439.0736267540041,525,0,0,0,1,overtake_easy
self_attention,23456,45,1044,437.1235912878254,525,0,0,0,1,stay_best
self_attention,23456,46,1045,439.57696876503684,525,0,0,0,1,overtake_easy
self_attention,23456,47,1046,143.50557343893672,179,1,0,1,0,overtake_blocked
self_attention,23456,48,1047,438.58956235840066,525,0,0,0,1,overtake_easy
self_attention,23456,49,1048,439.67686507532017,525,0,0,0,1,overtake_easy
self_attention,23456,50,1049,437.40354733823233,525,0,0,0,1,overtake_easy
