iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4100,7.34767,2.818371,-0.00938,97.92
2,8202,7.444646,2.856645,-0.005528,97.08
3,12303,8.268145,3.467517,-0.010861,207.02
4,16403,10.327456,5.032522,-0.013407,149.38
5,20512,13.788591,7.657142,-0.014703,123.14
6,24614,20.206897,13.175065,-0.00639,118.55
7,28732,27.271523,18.588049,-0.002656,125.68
8,32840,25.202454,17.308665,-0.000886,134.2
9,36951,26.018987,17.731692,-0.001988,141.35
10,41142,28.127517,19.6285,-0.00111,137.63
11,45248,28.915493,20.294572,-0.001894,134.55
12,49367,27.278146,18.965876,-0.002921,132.02
13,53463,32.251969,22.95776,-0.001194,119.19
14,57576,32.132812,23.091872,-0.000999,112.03
15,61673,38.28972,27.836687,-0.001168,120.53
16,65817,40.627451,30.147016,-0.000366,127.59
17,69933,41.16,30.065764,-0.001019,120.77
18,74171,43.244898,31.954553,-0.000557,113.29
19,78281,48.352941,36.205988,-0.000658,110.64
20,82383,52.589744,40.344974,-0.000672,82.24
21,86492,38.764151,28.562758,-0.001173,66.58
22,90666,51.530864,39.359158,-0.000801,66.47
23,94767,66.145161,51.32151,-0.000835,79.02
24,99136,70.467742,54.809491,-0.00111,85.93
25,103296,80.0,63.087061,-0.000721,86.84
26,107393,71.877193,55.529045,-0.001373,89.57
27,111518,52.21519,39.556083,-0.001277,87.2
28,115722,70.066667,54.134548,-0.001001,94.29
29,119819,69.440678,54.484321,-0.002058,99.67
30,123924,93.295455,74.352316,-0.001352,85.02
31,128186,92.652174,73.427251,-0.000627,88.95
32,132452,129.272727,104.613805,-0.000726,90.68
33,136620,106.871795,86.243015,-0.000181,100.31
34,140992,97.155556,77.674855,-0.00044,106.25
35,145118,111.513514,90.43009,-0.001085,103.43
36,149233,97.97619,78.593065,-0.00014,97.85
37,153331,93.136364,72.992482,-0.000499,94.99
38,157574,141.433333,114.242655,-0.000554,151.82
39,161878,148.413793,120.133657,-0.000879,173.5
40,166120,163.153846,134.291897,-0.00022,120.49
41,170315,135.322581,109.367577,-0.001302,115.4
42,174490,134.677419,108.895676,-0.000163,115.47
43,178588,146.357143,119.308106,-0.000439,112.35
44,182891,148.37931,120.501919,-4.8e-05,117.96
45,186998,164.28,132.900211,-0.001233,112.59
46,191118,132.903226,108.1739,-0.000514,113.89
47,195261,115.083333,92.728112,-0.000333,112.0
48,199440,144.103448,116.562161,-0.000957,117.51
49,203658,140.6,113.365823,-0.000768,123.18
