iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4098,11.446927,6.401287,-0.008611,90.22
2,8210,13.13738,7.8183,-0.003117,89.1
3,12332,15.853846,10.027047,-0.006241,103.16
4,16428,19.230047,12.669281,-0.003712,91.77
5,20539,21.190722,14.107375,-0.003551,135.1
6,24642,24.422619,16.742152,-0.003144,117.69
7,28770,25.962264,18.504669,-0.001626,109.71
8,32886,28.191781,20.455394,-0.001896,98.82
9,36998,31.875969,23.397448,-0.002525,99.2
10,41097,32.275591,23.510273,-0.001894,91.97
11,45218,36.794643,27.972143,-0.001161,78.23
12,49332,33.721311,24.859433,-0.002068,78.88
13,53473,36.646018,27.505337,-0.000948,75.56
14,57593,40.392157,30.641913,-0.001825,79.85
15,61692,40.584158,30.801471,-0.002283,76.61
16,65814,44.804348,35.204726,-0.000408,92.65
17,69950,40.950495,30.677047,-0.001655,102.74
18,74143,46.076923,36.174733,-0.000483,98.35
