iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4098,11.446927,6.401287,-0.008611,1798.75
2,8210,13.13738,7.8183,-0.003117,92.97
3,12332,15.853846,10.027047,-0.006241,95.28
4,16428,19.230047,12.669281,-0.003712,88.19
5,20539,21.190722,14.107375,-0.003551,79.72
6,24642,24.422619,16.742152,-0.003144,80.57
7,28770,25.962264,18.504669,-0.001626,81.63
8,32886,28.191781,20.455394,-0.001896,80.61
9,36998,31.875969,23.397448,-0.002525,79.69
10,41097,32.275591,23.510273,-0.001894,72.95
11,45218,36.794643,27.972143,-0.001161,77.84
12,49332,33.721311,24.859433,-0.002068,74.72
13,53473,36.646018,27.505337,-0.000948,75.19
14,57593,40.392157,30.641913,-0.001825,75.38
15,61692,40.584158,30.801471,-0.002283,75.87
16,65814,44.804348,35.204726,-0.000408,74.95
17,69950,40.950495,30.677047,-0.001655,75.34
18,74143,46.076923,36.174733,-0.000483,78.3
19,78265,52.177215,42.05923,-0.000156,74.86
20,82368,46.101124,36.272424,-0.000624,75.69
21,86504,44.0,34.264533,-0.001385,76.39
22,90608,48.857143,38.386948,-0.000923,74.89
23,94724,48.423529,38.501159,-0.000685,75.39
24,98825,47.137931,37.692399,-0.000255,74.84
25,102950,47.413793,37.619734,-0.000163,76.06
