iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4116,24.5,15.82546,-0.000723,36.67
2,8213,24.830303,16.423152,-0.000845,35.6
3,12321,27.945578,19.400482,-0.001169,34.83
4,16432,27.046053,18.407404,-0.000383,35.64
5,20533,26.62987,18.177022,-0.001241,34.71
6,24631,28.859155,19.59932,-0.000295,34.95
7,28741,28.150685,19.397651,-0.000637,34.63
8,32873,31.067669,21.789172,-0.000827,35.16
9,36984,28.950704,20.2107,-0.000512,34.67
10,41083,33.056452,23.090585,-0.000726,35.32
11,45184,35.973684,25.845152,-0.000502,34.63
12,49292,35.413793,25.238995,-0.00066,34.46
13,53393,37.623853,27.173271,-0.000761,34.4
14,57523,34.132231,24.153862,-0.000805,35.28
15,61673,34.583333,24.393651,-0.00057,35.03
16,65770,41.383838,29.803165,-0.000159,34.65
17,69921,40.696078,29.66514,-0.000543,34.53
18,74034,38.083333,27.676806,-0.000309,34.95
19,78164,45.888889,34.619851,-0.000346,35.17
20,82317,37.080357,26.516306,-0.000672,35.11
21,86427,42.371134,30.391004,-0.000315,34.3
22,90528,46.602273,34.041925,-0.000521,34.71
23,94627,37.263636,26.516082,-0.000122,34.58
24,98726,46.579545,34.367027,-0.00064,34.55
25,102825,39.413462,28.625777,-0.000544,34.57
26,106953,49.142857,36.71608,-0.00069,34.86
27,111264,55.987013,42.650839,-2.5e-05,36.9
28,115379,43.315789,31.485933,-0.000274,35.01
29,119708,58.5,44.629254,-0.000243,37.29
30,123889,49.77381,37.68366,-0.00026,118.62
31,127993,45.6,33.68571,-0.00066,125.64
32,132100,53.337662,40.697454,-0.000194,137.58
33,136487,54.160494,41.241305,-0.000284,144.44
34,140672,69.75,54.288583,-0.000361,129.11
35,144792,58.028169,44.022169,-0.000229,127.32
36,148963,59.585714,45.797414,-0.000415,83.57
37,153069,60.382353,45.967294,-0.000121,41.45
38,157422,60.458333,46.299476,-0.000345,37.29
39,161546,79.307692,62.281228,-0.000375,34.66
40,165660,77.622642,60.247875,-0.000561,43.16
41,169892,65.107692,50.694001,-0.000288,40.1
42,174012,66.451613,51.102175,-0.000119,45.46
43,178152,72.631579,56.229108,-0.000379,41.14
44,182248,70.62069,54.571163,-0.000193,41.55
45,186463,81.057692,63.058243,-0.00034,43.9
46,190620,76.981481,60.829445,-0.000194,49.89
47,194745,93.75,74.904229,-0.000316,48.88
48,198932,107.358974,85.191054,-9.1e-05,39.69
49,203249,81.45283,64.356372,-0.000121,52.66
