model,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario
mlp_baseline,23456,1,1000,439.31785377345614,525,0,0,0,1,overtake_easy
mlp_baseline,23456,2,1001,262.57721296036544,313,1,0,1,0,overtake_easy
mlp_baseline,23456,3,1002,19.341846408475682,32,1,0,1,0,overtake_easy
mlp_baseline,23456,4,1003,30.250583288083682,39,1,0,1,0,overtake_easy
mlp_baseline,23456,5,1004,222.1673653362616,264,1,0,1,0,overtake_easy
mlp_baseline,23456,6,1005,441.3888531297237,525,0,0,0,1,stay_best
mlp_baseline,23456,7,1006,13.069190485231143,25,1,0,1,0,overtake_easy
mlp_baseline,23456,8,1007,19.067017097494713,30,1,0,1,0,overtake_blocked
mlp_baseline,23456,9,1008,16.07978373232505,31,1,0,1,0,overtake_blocked
mlp_baseline,23456,10,1009,437.47820705807544,525,0,0,0,1,overtake_easy
mlp_baseline,23456,11,1010,440.8286658057815,525,0,0,0,1,overtake_easy
mlp_baseline,23456,12,1011,440.19427426298904,525,0,0,0,1,overtake_easy
mlp_baseline,23456,13,1012,439.79810733507736,525,0,0,0,1,overtake_blocked
mlp_baseline,23456,14,1013,30.01133769036422,37,1,0,1,0,overtake_easy
mlp_baseline,23456,15,1014,24.963501860060838,41,1,0,1,0,overtake_easy
mlp_baseline,23456,16,1015,18.68409880906902,29,1,0,1,0,overtake_easy
mlp_baseline,23456,17,1016,16.2457555849175,29,1,0,1,0,overtake_easy
mlp_baseline,23456,18,1017,30.70240456368608,42,1,0,1,0,overtake_blocked
mlp_baseline,23456,19,1018,437.67677202641715,525,0,0,0,1,overtake_easy
mlp_baseline,23456,20,1019,19.53017995068442,32,1,0,1,0,overtake_easy
mlp_baseline,23456,21,1020,437.9428573715813,524,1,0,1,0,overtake_easy
mlp_baseline,23456,22,1021,441.0923188396338,525,0,0,0,1,overtake_easy
mlp_baseline,23456,23,1022,440.9729815848301,525,0,0,0,1,stay_best
mlp_baseline,23456,24,1023,438.1730077512166,525,0,0,0,1,stay_best
mlp_baseline,23456,25,1024,19.522906116513603,33,1,0,1,0,overtake_easy
mlp_baseline,23456,26,1025,191.56300842291492,237,1,0,1,0,overtake_easy
mlp_baseline,23456,27,1026,13.750040141479653,22,1,0,1,0,overtake_easy
mlp_baseline,23456,28,1027,15.744953194429595,27,1,0,1,0,overtake_easy
mlp_baseline,23456,29,1028,17.52296609849764,29,1,0,1,0,overtake_easy
mlp_baseline,23456,30,1029,13.897082902999394,22,1,0,1,0,overtake_blocked
mlp_baseline,23456,31,1030,20.506961262758175,35,1,0,1,0,overtake_easy
mlp_baseline,23456,32,1031,281.3853016003918,346,1,0,1,0,stay_best
mlp_baseline,23456,33,1032,24.19022754913339,40,1,0,1,0,overtake_easy
mlp_baseline,23456,34,1033,28.951349766785256,44,1,0,1,0,stay_best
mlp_baseline,23456,35,1034,15.541086064534053,27,1,0,1,0,overtake_easy
mlp_baseline,23456,36,1035,33.99304493800311,40,1,0,1,0,overtake_easy
mlp_baseline,23456,37,1036,13.991534081190856,26,1,0,1,0,overtake_blocked
mlp_baseline,23456,38,1037,18.022373114212833,31,1,0,1,0,overtake_easy
mlp_baseline,23456,39,1038,16.08034313186838,27,1,0,1,0,overtake_easy
mlp_baseline,23456,40,1039,20.729908049106907,34,1,0,1,0,overtake_easy
mlp_baseline,23456,41,1040,150.16263799228432,178,1,0,1,0,overtake_blocked
mlp_baseline,23456,42,1041,437.4180454542356,525,0,0,0,1,overtake_easy
mlp_baseline,23456,43,1042,362.02737737989395,432,0,0,1,0,overtake_easy
mlp_baseline,23456,44,1043,28.031961758316854,34,1,0,1,0,overtake_easy
mlp_baseline,23456,45,1044,118.8075837037372,140,1,0,1,0,stay_best
mlp_baseline,23456,46,1045,439.16723976023854,525,0,0,0,1,overtake_easy
mlp_baseline,23456,47,1046,22.53434671543204,31,1,0,1,0,overtake_blocked
mlp_baseline,23456,48,1047,440.61484157858825,525,0,0,0,1,overtake_easy
mlp_baseline,23456,49,1048,28.632346728442005,34,1,0,1,0,overtake_easy
mlp_baseline,23456,50,1049,433.6701510983585,525,0,0,0,1,overtake_easy
