iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4098,19.421801,11.717286,-0.001633,28.65
2,8210,20.457711,12.795481,-0.001341,28.71
3,12313,21.149485,13.343446,-0.001222,28.69
4,16439,21.268041,13.42492,-0.001096,31.62
5,20542,23.58046,15.171323,-0.000889,30.13
6,24649,22.080645,13.889219,-0.000868,30.02
7,28746,23.146893,14.785874,-0.000792,29.48
8,32848,23.848837,15.372075,-0.000692,29.58
9,36960,26.358974,17.142377,-0.000368,29.39
10,41070,24.176471,15.928068,-0.000487,30.47
11,45195,23.706897,15.601259,-0.000462,29.51
12,49324,23.067039,14.887439,-0.000421,30.38
13,53434,26.178344,17.513336,-0.000557,29.66
14,57533,25.459627,16.958475,-0.000467,29.56
15,61670,27.217105,18.42955,-0.00043,29.97
16,65810,26.369427,17.489829,-0.000663,29.69
17,69908,25.296296,16.84502,-0.000623,29.4
18,74050,27.25,18.514771,-0.000426,29.73
19,78158,28.331034,19.268133,-0.000861,29.78
20,82254,31.507692,21.866233,-0.000652,29.16
21,86356,30.842105,21.561621,-0.000495,29.17
22,90452,32.768,23.32469,-0.000674,30.63
23,94561,33.137097,23.493939,-0.000533,29.77
24,98665,30.857143,21.555621,-0.000574,28.98
25,102841,33.677419,23.805032,-0.000596,29.81
26,106959,35.5,25.527536,-0.000796,29.31
27,111058,32.023438,22.659784,-0.000639,29.33
28,115191,39.740385,29.171694,-0.00067,29.26
29,119306,40.742574,29.461769,-0.000464,29.54
30,123438,34.433333,24.904727,-0.000637,30.63
31,127602,41.64,30.617877,-0.000648,38.21
32,131723,40.401961,29.669219,-0.000481,37.51
33,135838,39.951456,29.62215,-0.000556,35.48
34,139973,43.526316,32.166343,-0.000462,33.42
35,144098,47.965116,36.006831,-0.00048,31.89
36,148207,45.655556,34.111629,-0.000599,31.73
37,152340,51.6625,39.496838,-0.000407,32.61
38,156491,52.544304,39.627766,-0.000447,34.16
39,160607,55.621622,43.049785,-0.000601,33.26
40,164845,60.542857,46.367739,-0.00029,33.71
41,168959,48.4,35.908769,-0.000709,32.55
42,173057,54.64,42.264565,-0.000129,30.28
43,177269,50.746988,38.260311,-0.000477,30.27
44,181405,53.025641,40.555146,-0.000514,30.91
45,185680,66.796875,51.79271,-0.000773,31.03
46,189891,89.595745,70.645848,-0.000389,30.43
47,194052,84.918367,67.427794,-0.000233,30.4
48,198260,72.551724,57.200249,-0.000195,29.95
49,202453,56.662162,43.793942,-0.00069,30.74
