iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4101,11.991228,6.390303,-0.00381,65.85
2,8209,12.046921,6.372586,-0.003836,68.42
3,12313,12.785047,6.935149,-0.003829,67.66
4,16421,13.251613,7.188115,-0.003556,74.07
5,20522,14.339161,8.075701,-0.003539,76.88
6,24620,15.291045,8.706961,-0.003508,66.74
7,28720,15.891473,9.24358,-0.002573,63.97
8,32826,16.293651,9.589824,-0.002912,63.04
9,36943,17.978166,10.712517,-0.003154,60.98
10,41055,19.488152,12.028138,-0.002708,59.76
11,45161,21.385417,13.448998,-0.002565,60.31
12,49274,20.772727,13.255638,-0.001713,60.46
13,53376,21.589474,13.834177,-0.001756,60.51
14,57491,22.60989,14.583868,-0.001265,63.38
15,61626,27.203947,18.404241,-0.000978,64.53
16,65854,27.815789,19.051605,-0.000493,66.04
17,69976,27.66443,18.999378,-0.000502,64.7
18,74077,26.288462,18.001646,-0.000388,63.44
19,78174,26.095541,17.731456,-0.000569,60.69
20,82275,26.62987,18.023409,-0.000532,60.02
21,86381,29.970803,21.164279,-0.000491,59.92
22,90489,31.121212,22.021405,-0.000547,62.43
23,94600,26.352564,17.915643,-0.000607,61.14
24,98721,29.862319,20.479701,-0.001056,61.28
25,102836,32.92,23.727521,-0.000432,60.25
26,106973,29.76259,20.955551,-0.000408,61.1
27,111079,34.504202,24.529749,-0.00056,61.68
28,115182,33.631148,24.208701,-0.000682,61.37
29,119279,30.574627,21.409674,-0.000576,59.93
30,123387,38.392523,27.974082,-0.000538,60.58
31,127504,36.114035,26.44605,-0.000563,61.49
32,131656,32.692913,23.052226,-0.000335,60.64
33,135777,37.126126,27.316888,-0.000464,61.03
34,139904,38.933962,28.974158,-0.000357,63.58
35,144008,41.877551,30.982756,-0.000145,61.03
36,148115,40.663366,30.310034,-0.000294,60.37
37,152238,44.815217,33.668921,-0.000633,61.43
38,156349,42.381443,31.771856,-0.000534,61.09
39,160477,45.866667,34.448198,-0.000428,61.14
40,164654,52.873418,40.340483,-0.000574,62.49
41,168917,46.846154,35.093253,-0.000965,64.1
42,173049,49.783133,37.652754,-4.9e-05,60.3
43,177164,53.441558,40.528397,-0.000333,61.21
44,181393,51.573171,39.17495,-0.000495,61.22
45,185531,45.977778,34.74634,-0.000383,61.15
46,189659,58.140845,45.030405,-0.000585,62.27
47,193794,68.916667,53.85227,-0.0004,61.07
48,197892,62.090909,48.562324,-0.000392,59.86
49,202173,57.08,43.867268,-0.000617,62.53
