episode,seed,episodic_return,episodic_length,collided
1,1000,436.5197541267518,525,False
2,1001,436.1148594425088,525,False
3,1002,18.02844128707163,33,True
4,1003,432.49988898320703,525,False
5,1004,436.6229905948234,525,False
6,1005,440.0749398152983,525,False
7,1006,13.278365413956836,26,True
8,1007,30.85569063082636,48,True
9,1008,16.867912404233852,33,True
10,1009,436.16526386678845,525,False
11,1010,437.6187534870052,525,False
12,1011,436.8493245328267,525,False
13,1012,436.6363172845318,525,False
14,1013,433.39018638995344,525,False
15,1014,24.40104883048151,44,True
16,1015,26.44250366361293,36,True
17,1016,15.515167259768816,30,True
18,1017,39.96547216818865,52,True
19,1018,437.5523458058727,525,False
20,1019,17.78417252112683,34,True
21,1020,436.0744900818719,525,False
22,1021,433.1401108795609,525,False
23,1022,438.72126091688534,525,False
24,1023,437.35196819404007,525,False
25,1024,26.746226911302976,37,True
26,1025,435.7111622837003,525,False
27,1026,11.505972181361974,23,True
28,1027,14.8384576103036,28,True
29,1028,16.69532265148466,31,True
30,1029,432.6800926069636,525,False
31,1030,20.73602279526354,38,True
32,1031,438.33083326924384,525,False
33,1032,24.541791920717053,44,True
34,1033,170.65471107317168,209,True
35,1034,14.371830470341557,29,True
36,1035,40.26162114322395,50,True
37,1036,14.617760236707229,28,True
38,1037,18.065186566840378,34,True
39,1038,14.076359114364053,27,True
40,1039,35.21669439009271,45,True
41,1040,290.3941009812237,353,True
42,1041,437.44114047709473,525,False
43,1042,436.55611517835365,525,False
44,1043,437.1444124456467,525,False
45,1044,51.5800913814955,67,True
46,1045,432.150265820827,525,False
47,1046,431.19228481858687,525,False
48,1047,434.6900289440334,525,False
49,1048,436.2097310716697,525,False
50,1049,437.84944692143637,525,False
