iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4098,13.614618,7.552176,-0.003229,73.34
2,8194,13.979522,7.753588,-0.002607,70.86
3,12291,14.73741,8.226287,-0.002695,64.58
4,16398,15.154982,8.629998,-0.003018,63.74
5,20511,16.651822,9.536675,-0.002607,62.15
6,24610,18.547511,11.15577,-0.002136,60.03
7,28707,17.813043,10.267062,-0.002635,60.5
8,32805,19.330189,11.557761,-0.001787,61.34
9,36923,20.903553,12.719705,-0.001614,60.91
10,41022,22.646409,14.139543,-0.001237,60.01
11,45152,25.8125,16.713552,-0.001048,60.42
12,49251,23.693642,14.873412,-0.00082,59.71
13,53350,25.302469,16.716439,-0.000622,61.58
14,57458,22.822222,14.833678,-0.000497,60.3
15,61560,24.710843,15.642819,-0.000402,59.39
16,65669,26.509677,17.479818,-0.000393,59.51
17,69771,24.710843,15.615745,-0.000512,60.68
18,73868,24.1,15.244663,-0.000574,64.59
19,77986,27.092105,17.492684,-0.000609,70.87
20,82098,27.783784,18.213164,-0.000493,61.62
21,86207,27.577181,17.933699,-0.00049,60.45
22,90308,29.292857,19.176975,-0.000419,61.83
23,94421,26.707792,17.205827,-0.000646,63.39
24,98517,29.049645,19.131641,-0.000524,62.98
25,102614,29.688406,19.572781,-0.000602,61.81
