model,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario,eval_action_mode,safeguard_threshold,mc_samples,avg_uncertainty,max_uncertainty,activation_count,activation_rate
deep_sets_mean,12345,1,1000,40.26548204869724,57,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,12345,2,1001,36.59067400496357,46,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,12345,3,1002,21.655786473937702,43,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,12345,4,1003,40.78304088594509,66,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,12345,5,1004,500.8194923404268,600,0,0,0,1,overtake_easy,actor,,,,,,
deep_sets_mean,12345,6,1005,312.2018748272256,372,1,0,1,0,stay_best,actor,,,,,,
deep_sets_mean,12345,7,1006,15.619861232284046,33,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,12345,8,1007,496.5186896868146,600,0,0,0,1,overtake_blocked,actor,,,,,,
deep_sets_mean,12345,9,1008,22.286010924820303,44,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,12345,10,1009,213.7250378437983,271,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,12345,11,1010,50.80658615423885,65,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,12345,12,1011,384.6611494653173,468,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,12345,13,1012,42.62709490125716,55,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,12345,14,1013,35.690913160384206,45,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,12345,15,1014,37.02690387093907,63,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,12345,16,1015,18.574504906189922,37,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,12345,17,1016,17.651585156392425,37,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,12345,18,1017,500.4546659508663,600,0,0,0,1,overtake_blocked,actor,,,,,,
deep_sets_mean,12345,19,1018,500.4226955865516,600,0,0,0,1,overtake_easy,actor,,,,,,
deep_sets_mean,12345,20,1019,23.42831759964376,46,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,12345,21,1020,38.693343022848524,47,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,12345,22,1021,36.367873039035885,45,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,12345,23,1022,500.4848857847069,600,0,0,0,1,stay_best,actor,,,,,,
deep_sets_mean,12345,24,1023,171.77306573659197,208,1,0,1,0,stay_best,actor,,,,,,
deep_sets_mean,12345,25,1024,23.40348279154064,46,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,12345,26,1025,500.5794639879873,600,0,0,0,1,overtake_blocked,actor,,,,,,
deep_sets_mean,12345,27,1026,13.559852293181713,29,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,12345,28,1027,17.37076745920868,35,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,12345,29,1028,19.534814347838676,39,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,12345,30,1029,13.06908910292372,29,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,12345,31,1030,24.019678399073477,47,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,12345,32,1031,496.9565587668164,600,0,0,0,1,stay_best,actor,,,,,,
deep_sets_mean,12345,33,1032,27.38064901157778,52,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,12345,34,1033,499.9348537522022,600,0,0,0,1,stay_best,actor,,,,,,
deep_sets_mean,12345,35,1034,17.147882631840563,37,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,12345,36,1035,366.5989956890162,448,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,12345,37,1036,16.706602532980384,34,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,12345,38,1037,20.94129816944423,42,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,12345,39,1038,16.958623060609074,35,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,12345,40,1039,22.284647087805595,45,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,12345,41,1040,496.94694648321826,600,0,0,0,1,overtake_blocked,actor,,,,,,
deep_sets_mean,12345,42,1041,40.95645184856101,49,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,12345,43,1042,38.20051398094421,46,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,12345,44,1043,40.743021025242236,50,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,12345,45,1044,44.664769800472904,57,1,0,1,0,stay_best,actor,,,,,,
deep_sets_mean,12345,46,1045,498.10756910515454,600,0,0,0,1,overtake_easy,actor,,,,,,
deep_sets_mean,12345,47,1046,42.49990889484238,54,1,0,1,0,overtake_blocked,actor,,,,,,
deep_sets_mean,12345,48,1047,43.20298731205587,53,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,12345,49,1048,39.440565889142725,47,1,0,1,0,overtake_easy,actor,,,,,,
deep_sets_mean,12345,50,1049,51.86917676767176,62,1,0,1,0,overtake_blocked,actor,,,,,,
