iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4105,24.147059,15.017099,-0.00193,67.6
2,8218,27.604027,18.125094,-0.000709,68.11
3,12320,26.636364,17.904033,-0.000844,65.81
4,16444,29.042254,19.417352,-0.001031,69.48
5,20550,27.743243,18.736067,-0.000475,68.12
6,24670,25.432099,16.583883,-0.000814,65.94
7,28791,26.75974,17.64988,-0.000967,64.63
8,32903,30.014599,19.82535,-0.00033,63.29
9,37018,32.148438,22.081518,-0.000693,71.93
10,41129,29.156028,19.470591,-0.000533,76.02
11,45234,31.335878,21.545433,-0.000411,70.76
12,49333,37.263636,26.346629,-0.000412,67.51
13,53432,31.05303,20.888572,-0.000468,62.98
14,57530,33.048387,23.018231,-0.000661,63.54
15,61649,35.817391,25.019726,-0.000381,63.77
16,65762,37.390909,26.766939,-0.000594,64.32
17,69894,37.563636,26.23434,-0.000287,65.37
18,74012,36.442478,25.744467,-0.000617,63.76
19,78153,34.22314,23.827576,-0.00096,65.96
20,82250,39.019048,27.518357,-0.000757,75.22
21,86385,37.93578,26.291023,-0.000367,65.44
22,90482,38.650943,27.7119,-0.000658,63.85
23,94612,42.57732,30.457567,-0.000144,65.33
24,98719,41.484848,29.328459,-0.000377,64.99
25,102829,41.938776,30.007075,-0.00049,66.59
