iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4118,22.259459,13.956104,-0.002143,69.3
2,8235,20.082927,12.468995,-0.001043,69.41
3,12338,21.941176,13.896675,-0.001005,71.0
4,16459,22.396739,13.876608,-0.000659,74.49
5,20580,22.767956,14.29023,-0.000903,78.42
6,24684,25.177914,16.283897,-0.000683,69.63
7,28814,24.152047,15.305122,-0.000851,67.42
8,32946,24.023256,15.247498,-0.000925,66.22
9,37069,26.094937,17.036999,-0.000868,66.8
10,41165,27.863946,18.069649,-0.000876,65.18
11,45289,31.242424,21.100078,-0.000586,73.1
12,49426,27.217105,17.953582,-0.001151,65.42
13,53541,32.401575,22.102812,-0.000719,64.63
14,57638,28.65035,19.047861,-0.001463,64.49
15,61761,31.473282,20.931464,-0.000363,63.45
16,65895,34.165289,23.418648,-0.001316,64.0
17,69992,35.938596,24.878991,-0.00023,64.82
18,74129,34.764706,23.64631,-0.000896,63.48
19,78228,37.953704,26.551883,-0.001933,61.01
20,82368,34.789916,23.816315,1.9e-05,61.4
21,86472,36.318584,25.031932,-0.001087,61.5
22,90571,45.544444,32.308029,-0.001528,64.09
23,94682,41.525253,29.273087,-4.7e-05,66.96
24,98815,45.922222,32.685949,-0.000785,68.04
25,102921,41.474747,29.287537,-0.001075,64.05
